CAR_ID,品牌系列,中央差速器锁止功能,限滑差速器/差速锁,低速四驱,蠕行模式,坦克转弯,拖挂钩,拖车取电口
67851,宝马M4,,(标配)后桥限滑差速器,,,,,
67850,宝马M4,,(标配)后桥限滑差速器,,,,,
62945,宝马M4,,(标配)后桥限滑差速器,,,,,
67852,宝马M4,,(标配)后桥限滑差速器,,,,,
62946,宝马M4,,(标配)后桥限滑差速器,,,,,
62944,宝马M4,,(标配)后桥限滑差速器,,,,,
58578,宝马M3,,(标配)后桥限滑差速器,,,,,
69061,宝马M3,,(标配)后桥限滑差速器,,,,,
57218,宝马M3,,(标配)后桥限滑差速器,,,,,
69060,宝马M3,,(标配)后桥限滑差速器,,,,,
57568,宝马8系,,(标配)后桥限滑差速器,,,,,
57567,宝马8系,,,,,,,
57566,宝马8系,,(标配)后桥限滑差速器,,,,,
57569,宝马8系,,(标配)后桥限滑差速器,,,,,
60755,宝马M2,,(标配)后桥限滑差速器,,,,,
68928,宝马M2,,(标配)后桥限滑差速器,,,,,
63476,宝马X5 M,,(标配)后桥限滑差速器,,,,,
71352,宝马M240i,,(标配)后桥限滑差速器,,,,,
69026,宝马M240i,,(标配)后桥限滑差速器,,,,,
69412,宝马M235L,,(标配)前桥限滑差速器,,,,,
57156,宝马XM,,,,,,,
62420,宝马XM,,(标配)后桥限滑差速器,,,,,
62467,宝马XM,,(标配)后桥限滑差速器,,,,,
51645,宝马X3 M,,(标配)后桥限滑差速器,,,,,
68905,宝马X7 M60i,,(标配)后桥限滑差速器,,,,,
57279,宝马X3 M40i,,(标配)后桥限滑差速器,,,,,
63477,宝马X6 M,,(标配)后桥限滑差速器,,,,,
68878,宝马M5新能源,,(标配)后桥限滑差速器,,,,,
61600,宝马Z4 M40i,,(标配)后桥限滑差速器,,,,,
51640,宝马X4 M40i,,(标配)后桥限滑差速器,,,,,
51644,宝马X4 M,,(标配)后桥限滑差速器,,,,,
72208,唐L,,,,,,,
72468,唐L,,,,,,,
71390,唐L,,,,,,(标配)电动,(标配)
71391,唐L,,,,,,,
71291,唐L,,,,,,,
71389,唐L,,,,,,,
71700,唐新能源,,,,,,,
67875,唐新能源,,,,,,,
67874,唐新能源,,,,,,,
67879,唐新能源,,,,,,,
71699,唐新能源,,,,,,,
67877,唐新能源,,,,,,,
66835,唐新能源,,,,,,,
67878,唐新能源,,,,,,,
66858,唐新能源,,,,,,,
70476,唐新能源,,,,,,,
66857,唐新能源,,,,,,,
71701,唐新能源,,,,,,,
67876,唐新能源,,,,,,,
70475,唐新能源,,(标配)后桥差速锁,,,,,
71702,唐新能源,,,,,,,
70416,唐新能源,,,,,,,
70454,唐新能源,,,,,,,
66775,唐新能源,,,,,,,
66263,奥迪RS 7,,(标配)后桥限滑差速器,,,,,
66265,奥迪RS 6,,(标配)后桥限滑差速器,,,,,
66639,奥迪RS 6,,(标配)后桥限滑差速器,,,,,
66009,奥迪S5,,(选配)后桥限滑差速器,,,,,
66010,奥迪S5,,(选配)后桥限滑差速器,,,,,
66008,奥迪S5,,(选配)后桥限滑差速器,,,,,
66276,奥迪RS 4,,(标配)后桥限滑差速器,,,,,
66275,奥迪RS 4,,(标配)后桥限滑差速器,,,,,
66274,奥迪RS 4,,(标配)后桥限滑差速器,,,,,
71606,奥迪RS Q8,,(标配)后桥限滑差速器,,,,,
55117,奥迪RS Q8,,(标配)后桥限滑差速器,,,,,
66268,奥迪RS 5,,(标配)后桥限滑差速器,,,,,
66267,奥迪RS 5,,(标配)后桥限滑差速器,,,,,
66269,奥迪RS 5,,(标配)后桥限滑差速器,,,,,
66270,奥迪RS 5,,(标配)后桥限滑差速器,,,,,
66271,奥迪RS 5,,(标配)后桥限滑差速器,,,,,
66272,奥迪RS 5,,(标配)后桥限滑差速器,,,,,
63435,奥迪SQ5,,(选配)后桥限滑差速器,,,,,
66921,奥迪SQ5,,(选配)后桥限滑差速器,,,,,
64048,奥迪S8,,(标配)后桥限滑差速器,,,,,
70491,奥迪S8,,(标配)后桥限滑差速器,,,,,
63692,奥迪e-tron GT,,(选配)后桥限滑差速器,,,,,
65368,奥迪SQ7,,,,,,,
68828,奥迪SQ7,,(标配)后桥限滑差速器,,,,,
67100,奥迪S6,,(选配)后桥限滑差速器,,,,,
61540,奥迪S6,,(选配)后桥限滑差速器,,,,,
60410,奥迪RS e-tron GT,,(标配)后桥限滑差速器,,,,,
59025,奥迪SQ5 Sportback,,(选配)后桥限滑差速器,,,,,
67867,奥迪SQ5 Sportback,,(选配)后桥限滑差速器,,,,,
61017,思域(进口),,(标配)前桥限滑差速器,,,,,
62661,Cayenne,,,,,,,
68389,Cayenne,,,,,,,
68388,Cayenne,,(标配)后桥限滑差速器,,,,,
62548,Cayenne,,,,,,,
62549,Cayenne,,,,,,,
68387,Cayenne,,(标配)后桥限滑差速器,,,,,
56905,Panamera,,,,,,,
64337,Panamera,,,,,,,
56897,Panamera,,,,,,,
59231,Panamera,,(标配)后桥限滑差速器,,,,,
56901,Panamera,,,,,,,
56909,Panamera,,,,,,,
69214,Panamera,,,,,,,
59232,Panamera,,,,,,,
56908,Panamera,,,,,,,
56899,Panamera,,,,,,,
59230,Panamera,,,,,,,
66024,Panamera,,,,,,,
56907,Panamera,,,,,,,
66023,Panamera,,,,,,,
56904,Panamera,,(选配)后桥限滑差速器,,,,,
56902,Panamera,,(标配)后桥限滑差速器,,,,,
56906,Panamera,,(标配)后桥限滑差速器,,,,,
62370,Macan,,(选配)后桥限滑差速器,,,,,
62371,Macan,,(选配)后桥限滑差速器,,,,,
62372,Macan,,(选配)后桥限滑差速器,,,,,
62369,Macan,,,,,,,
72222,Macan,,,,,,,
68308,保时捷911,,,,,,,
70029,保时捷911,,,,,,,
68523,保时捷911,,,,,,,
68526,保时捷911,,(标配)后桥限滑差速器,,,,,
57794,保时捷911,,(标配)后桥限滑差速器,,,,,
60599,保时捷911,,(标配)后桥限滑差速器,,,,,
57799,保时捷911,,(标配)后桥限滑差速器,,,,,
57793,保时捷911,,(标配)后桥限滑差速器,,,,,
68522,保时捷911,,(标配)后桥限滑差速器,,,,,
57800,保时捷911,,(标配)后桥限滑差速器,,,,,
70415,保时捷911,,,,,,,
63210,保时捷911,,,,,,,
57797,保时捷911,,,,,,,
57801,保时捷911,,,,,,,
60167,保时捷911,,,,,,,
70553,保时捷911,,,,,,,
69490,保时捷911,,,,,,,
57792,保时捷911,,,,,,,
57798,保时捷911,,,,,,,
68527,保时捷911,,,,,,,
57796,保时捷911,,,,,,,
57802,保时捷911,,,,,,,
68524,保时捷911,,,,,,,
57795,保时捷911,,,,,,,
68520,保时捷911,,,,,,,
57803,保时捷911,,,,,,,
56840,保时捷718,,(选配)后桥限滑差速器,,,,,
56845,保时捷718,,(选配)后桥限滑差速器,,,,,
56847,保时捷718,,(标配)后桥限滑差速器,,,,,
56842,保时捷718,,(选配)后桥限滑差速器,,,,,
53803,保时捷718,,(选配)后桥限滑差速器,,,,,
56844,保时捷718,,(选配)后桥限滑差速器,,,,,
56843,保时捷718,,(选配)后桥限滑差速器,,,,,
63018,保时捷718,,,,,,,
56841,保时捷718,,(选配)后桥限滑差速器,,,,,
56848,保时捷718,,(选配)后桥限滑差速器,,,,,
56846,保时捷718,,(选配)后桥限滑差速器,,,,,
60397,保时捷718,,(选配)后桥限滑差速器,,,,,
60396,保时捷718,,(标配)后桥限滑差速器,,,,,
67097,Taycan,,(选配)后桥限滑差速器,,,,,
66694,Taycan,,(选配)后桥限滑差速器,,,,,
66696,Taycan,,(标配)后桥限滑差速器,,,,,
67096,Taycan,,(标配)后桥限滑差速器,,,,,
70717,Taycan,,(标配)后桥限滑差速器,,,,,
66697,Taycan,,(标配)后桥限滑差速器,,,,,
67999,Taycan,,(标配)后桥限滑差速器,,,,,
66590,Taycan,,(选配)后桥限滑差速器,,,,,
67098,Taycan,,(选配)后桥限滑差速器,,,,,
67099,Taycan,,(标配)后桥限滑差速器,,,,,
68381,Cayenne新能源,,,,,,,
64514,Cayenne新能源,,,,,,,
68383,Cayenne新能源,,,,,,,
65016,Cayenne新能源,,,,,,,
68385,Cayenne新能源,,(标配)后桥差速锁,,,,,
62501,Cayenne新能源,,,,,,,
64513,Cayenne新能源,,,,,,,
68382,Cayenne新能源,,,,,,,
68384,Cayenne新能源,,,,,,,
62500,Cayenne新能源,,,,,,,
65015,Cayenne新能源,,(标配)后桥差速锁,,,,,
68386,Cayenne新能源,,(标配)后桥差速锁,,,,,
60569,Macan新能源,,,,,,,
72223,Macan新能源,,,,,,,
69233,Macan新能源,,,,,,,
66569,Macan新能源,,(标配)后桥限滑差速器,,,,,
56918,Panamera新能源,,,,,,,
67461,Panamera新能源,,,,,,,
56917,Panamera新能源,,(选配)后桥限滑差速器,,,,,
67460,Panamera新能源,,(标配)后桥限滑差速器,,,,,
59233,Panamera新能源,,(标配)后桥限滑差速器,,,,,
56910,Panamera新能源,,(选配)后桥限滑差速器,,,,,
56912,Panamera新能源,,(选配)后桥限滑差速器,,,,,
67462,Panamera新能源,,(选配)后桥限滑差速器,,,,,
66022,Panamera新能源,,(选配)后桥限滑差速器,,,,,
59234,Panamera新能源,,(选配)后桥限滑差速器,,,,,
64338,Panamera新能源,,(选配)后桥限滑差速器,,,,,
56913,Panamera新能源,,(选配)后桥限滑差速器,,,,,
56919,Panamera新能源,,(选配)后桥限滑差速器,,,,,
71930,普拉多,(标配),,(标配),,,,
66837,普拉多,(标配),,(标配),,,,
71959,普拉多,(标配),"(标配)后桥限滑差速器,(标配)后桥差速锁",(标配),(标配),,,
66898,普拉多,(标配),"(标配)后桥限滑差速器,(标配)后桥差速锁",(标配),(标配),,,
64019,普拉多,(标配),(标配)后桥限滑差速器,(标配),(标配),,,
71958,普拉多,(标配),,(标配),,,,
66836,普拉多,(标配),,(标配),,,,
71960,普拉多,(标配),,(标配),,,,
66838,普拉多,(标配),"(标配)后桥限滑差速器,(标配)后桥差速锁",(标配),(标配),,,
54680,丰田86,,(标配)后桥限滑差速器,,,,,
60398,丰田86,,(标配)后桥限滑差速器,,,,,
58313,丰田86,,(标配)后桥限滑差速器,,,,,
65874,铂智4X,,,,,,,
70807,铂智4X,,,,,,,
70805,铂智4X,,,,,,,
65872,铂智4X,,,,(标配),,,
70808,铂智4X,,,,,,,
70806,铂智4X,,,,,,,
65875,铂智4X,,,,,,,
65873,铂智4X,,,,(标配),,,
59174,SUPRA,,,,,,,
59175,SUPRA,,(标配)后桥限滑差速器,,,,,
56233,一汽丰田bZ4X,,,,,,,
56475,一汽丰田bZ4X,,,,,,,
56849,一汽丰田bZ4X,,,,,,,
56067,一汽丰田bZ4X,,,,(标配),,,
56850,一汽丰田bZ4X,,,,(标配),,,
52030,昂科旗,,,,,,,
58458,昂科旗,,,,,,,
52033,昂科旗,,(标配)后桥限滑差速器,,,,,
52032,昂科旗,,(标配)后桥限滑差速器,,,,,
52029,昂科旗,,(标配)后桥限滑差速器,,,,,
