CAR_ID,品牌系列,主/副驾驶座安全气囊,前/后排侧气囊,前/后排头部气囊(气帘),膝部气囊,前排中间气囊,被动行人保护,后排正向安全气囊,缺气保用轮胎,后排中央安全气囊,副驾驶座垫式气囊
70195,奔驰GLC,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,(标配),(标配),,,,
71972,奔驰C级,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,(标配),(标配),,,,
71962,奔驰C级,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,(标配),(标配),,,,
69626,奔驰C级,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,(标配),(标配),,,,
71923,奔驰C级,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,(标配),(标配),,,,
69596,奔驰C级,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,(标配),(标配),,,,
69625,奔驰C级,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,(标配),(标配),,,,
69627,奔驰C级,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,(标配),(标配),,,,
69628,奔驰C级,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,(标配),(标配),,,,
71924,奔驰C级,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,(标配),(标配),,,,
71973,奔驰C级,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,(标配),(标配),,,,
72315,奔驰GLE,主(标配) / 副(标配),前(标配) / 后(标配),前(标配) / 后(标配),,,,,,,
70263,奔驰GLE,主(标配) / 副(标配),前(标配) / 后(标配),前(标配) / 后(标配),,,,,,,
70262,奔驰GLE,主(标配) / 副(标配),前(标配) / 后(标配),前(标配) / 后(标配),,,,,,,
72316,奔驰GLE,主(标配) / 副(标配),前(标配) / 后(标配),前(标配) / 后(标配),,,,,,,
72313,奔驰GLE,主(标配) / 副(标配),前(标配) / 后(标配),前(标配) / 后(标配),,,,,,,
70264,奔驰GLE,主(标配) / 副(标配),前(标配) / 后(标配),前(标配) / 后(标配),,,,,,,
72314,奔驰GLE,主(标配) / 副(标配),前(标配) / 后(标配),前(标配) / 后(标配),,,,,,,
70265,奔驰GLE,主(标配) / 副(标配),前(标配) / 后(标配),前(标配) / 后(标配),,,,,,,
71821,奔驰S级,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,(标配),(标配),(选配),,,
71819,奔驰S级,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,(标配),(标配),(选配),,,
71820,奔驰S级,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,(标配),(标配),(选配),,,
71818,奔驰S级,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,(标配),(标配),(选配),,,
67448,奔驰S级,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,(标配),(标配),(选配),,,
67449,奔驰S级,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,(标配),(标配),(选配),,,
67450,奔驰S级,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,(标配),(标配),(选配),,,
67451,奔驰S级,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,(标配),(标配),(选配),,,
70558,迈巴赫S级,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,(标配),(标配),(标配),,,
67444,迈巴赫S级,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,(标配),(标配),(标配),,,
70557,迈巴赫S级,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,(标配),(标配),(标配),,,
68040,迈巴赫S级,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,(标配),(标配),(标配),,,
72308,迈巴赫S级,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,(标配),(标配),(标配),,,
72306,迈巴赫S级,主(标配) / 副(标配),前(标配) / 后-,前(标配) / 后(标配),,(标配),(标配),(标配),,,
68041,迈巴赫S级,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,(标配),(标配),(标配),,,
61337,迈巴赫S级,主(标配) / 副(标配),前(标配) / 后-,前(标配) / 后(标配),,(标配),(标配),(标配),,,
67446,迈巴赫S级,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,(标配),(标配),(标配),,,
70555,迈巴赫S级,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,(标配),(标配),(标配),,,
72307,迈巴赫S级,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,(标配),(标配),(标配),,,
70556,迈巴赫S级,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,(标配),(标配),(标配),,,
54579,迈巴赫S级,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,(标配),(标配),(标配),,,
67445,迈巴赫S级,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,,(标配),(标配),,,
72305,迈巴赫S级,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,,(标配),(标配),,,
72410,奔驰GLB,主(标配) / 副(标配),前(标配) / 后-,前(标配) / 后(标配),,,,,,,
72409,奔驰GLB,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,,,,,,
68210,奔驰GLB,主(标配) / 副(标配),前(标配) / 后-,前(标配) / 后(标配),,,,,,,
68208,奔驰GLB,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,,,,,,
68209,奔驰GLB,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,,,,,,
68970,奔驰GLB,主(标配) / 副(标配),前(标配) / 后-,前(标配) / 后(标配),,,,,,,
72408,奔驰GLB,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,,,,,,
68207,奔驰GLB,主(标配) / 副(标配),前(标配) / 后-,前(标配) / 后(标配),,,,,,,
68206,奔驰GLB,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,,,,,,
68996,奔驰GLB,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,,,,,,
69208,奔驰A级,主(标配) / 副(标配),前(标配) / 后(标配),前(标配) / 后(标配),,,(标配),,,,
69239,奔驰A级,主(标配) / 副(标配),前(标配) / 后(标配),前(标配) / 后(标配),,,(标配),,,,
65886,奔驰GLS,主(标配) / 副(标配),前(标配) / 后(标配),前(标配) / 后(标配),,,,,,,
65918,奔驰GLS,主(标配) / 副(标配),前(标配) / 后(标配),前(标配) / 后(标配),,,,,,,
70560,奔驰GLS,主(标配) / 副(标配),前(标配) / 后(标配),前(标配) / 后(标配),,,,,,,
65978,奔驰G级,主(标配) / 副(标配),前(标配) / 后(标配),前(标配) / 后(标配),"(标配)主驾膝部气囊,(标配)副驾膝部气囊",,,,,,
65977,奔驰G级,主(标配) / 副(标配),前(标配) / 后(标配),前(标配) / 后(标配),,,,,,,
66721,奔驰G级,主(标配) / 副(标配),前(标配) / 后(标配),前(标配) / 后(标配),,,,,,,
66524,奔驰G级,主(标配) / 副(标配),前(标配) / 后(标配),前(标配) / 后(标配),,,,,,,
67435,奔驰G级,主(标配) / 副(标配),前(标配) / 后(标配),前(标配) / 后(标配),,,,,,,
67805,奔驰V级,主(标配) / 副(标配),前(标配) / 后-,前(标配) / 后(标配),,(标配),,,,,
69449,奔驰V级,主(标配) / 副(标配),前(标配) / 后-,前(标配) / 后(标配),,(标配),,,,,
67807,奔驰V级,主(标配) / 副(标配),前(标配) / 后-,前(标配) / 后(标配),,(标配),,,,,
67806,奔驰V级,主(标配) / 副(标配),前(标配) / 后-,前(标配) / 后(标配),,(标配),,,,,
68065,奔驰G级AMG,主(标配) / 副(标配),前(标配) / 后(标配),前(标配) / 后(标配),"(标配)主驾膝部气囊,(标配)副驾膝部气囊",,,,,,
67436,奔驰G级AMG,主(标配) / 副(标配),前(标配) / 后(标配),前(标配) / 后(标配),"(标配)主驾膝部气囊,(标配)副驾膝部气囊",,,,,,
63735,奔驰G级AMG,主(标配) / 副(标配),前(标配) / 后(标配),前(标配) / 后(标配),"(标配)主驾膝部气囊,(标配)副驾膝部气囊",,,,,,
72405,奔驰GLA,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,,,,,,
72406,奔驰GLA,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,,,,,,
69235,奔驰GLA,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,,,,,,
72407,奔驰GLA,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,,,,,,
69237,奔驰GLA,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,,,,,,
69236,奔驰GLA,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,,,,,,
67809,威霆,主(标配) / 副(标配),,,,,,,,,
67810,威霆,主(标配) / 副(标配),,,,,,,,,
67808,威霆,主(标配) / 副(标配),,,,,,,,,
67813,威霆,主(标配) / 副(标配),前(标配) / 后-,前(标配) / 后(标配),,,,,,,
67811,威霆,主(标配) / 副(标配),前(标配) / 后-,前(标配) / 后(标配),,,,,,,
67812,威霆,主(标配) / 副(标配),前(标配) / 后-,前(标配) / 后(标配),,,,,,,
70926,迈巴赫GLS,主(标配) / 副(标配),前(标配) / 后(标配),前(标配) / 后(标配),,,,,,,
66811,迈巴赫GLS,主(标配) / 副(标配),前(标配) / 后(标配),前(标配) / 后(标配),,,,,,,
70927,迈巴赫GLS,主(标配) / 副(标配),前(标配) / 后(标配),前(标配) / 后(标配),,,,,,,
62314,迈巴赫GLS,主(标配) / 副(标配),前(标配) / 后(标配),前(标配) / 后(标配),,,,,,,
63209,迈巴赫GLS,主(标配) / 副(标配),前(标配) / 后(标配),前(标配) / 后(标配),,,,,,,
70925,迈巴赫GLS,主(标配) / 副(标配),前(标配) / 后(标配),前(标配) / 后(标配),,,,,,,
69085,奔驰CLA(进口),主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,,(标配),,,,
68971,奔驰CLA(进口),主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,,(标配),,,,
72341,奔驰CLA(进口),主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,,(标配),,,,
69086,奔驰CLA(进口),主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,,(标配),,,,
72342,奔驰CLA(进口),主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,,(标配),,,,
72343,奔驰CLA(进口),主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,,(标配),,,,
69088,奔驰CLA(进口),主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,,(标配),,,,
69084,奔驰CLA(进口),主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,,(标配),,,,
71445,奔驰CLE,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,(标配),(标配),,,,
71443,奔驰CLE,主(标配) / 副(标配),前(标配) / 后(选配),,(标配)主驾膝部气囊,(标配),(标配),,,,
65901,奔驰CLE,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,(标配),(标配),,,,
71442,奔驰CLE,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,(标配),(标配),,,,
67283,奔驰CLE,主(标配) / 副(标配),前(标配) / 后(选配),,(标配)主驾膝部气囊,(标配),(标配),,,,
67439,奔驰CLE,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,(标配),(标配),,,,
71444,奔驰CLE,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,(标配),(标配),,,,
71441,奔驰CLE,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,(标配),(标配),,,,
69011,奔驰CLE,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,(标配),(标配),,,,
69012,奔驰CLE,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,(标配),(标配),,,,
60867,AMG GT,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,,(标配),,,,
67636,AMG GT,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,,(标配),,,,
60868,AMG GT,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,,(标配),,,,
63122,奔驰E级(进口),主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,(标配),(标配),,,,
70201,奔驰E级(进口),主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,(标配),(标配),,,,
63123,奔驰E级(进口),主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,(标配),(标配),,,,
70202,奔驰E级(进口),主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,,(标配),,(标配),,
59860,奔驰E级(进口),主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,,(标配),,(标配),,
70203,奔驰E级(进口),主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,,(标配),,(标配),,
63124,奔驰E级(进口),主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,,(标配),,(标配),,
63125,奔驰E级(进口),主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,,(标配),,(标配),,
63004,奔驰CLS,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,,,,(标配),,
63005,奔驰CLS,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,,,,(标配),,
63006,奔驰CLS,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,,,,(标配),,
61395,奔驰GLE AMG,主(标配) / 副(标配),前(标配) / 后(标配),前(标配) / 后(标配),,,,,,,
70923,奔驰GLE AMG,主(标配) / 副(标配),前(标配) / 后(标配),前(标配) / 后(标配),,,,,,,
70213,奔驰GLC轿跑,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,(标配),(标配),,,,
70214,奔驰GLC轿跑,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,(标配),(标配),,,,
66516,奔驰C级AMG,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,,(标配),,,,
66517,奔驰C级AMG,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,,(标配),,,,
70273,奔驰GLE新能源,主(标配) / 副(标配),前(标配) / 后(标配),前(标配) / 后(标配),,,,,(标配),,
71115,奔驰A级AMG,主(标配) / 副(标配),前(标配) / 后(标配),前(标配) / 后(标配),,,(标配),,,,
71170,奔驰CLE AMG,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,(标配),(标配),,,,
65910,奔驰GLB AMG,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,,,,,,
71116,奔驰A级AMG(进口),主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,,(标配),,,,
68606,奔驰A级AMG(进口),主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,,(标配),,,,
66533,奔驰A级AMG(进口),主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,,(标配),,,,
68559,奔驰E级新能源,主(标配) / 副(标配),前(标配) / 后-,前(标配) / 后(标配),(标配)主驾膝部气囊,(标配),(标配),,,,
65775,奔驰E级新能源,主(标配) / 副(标配),前(标配) / 后-,前(标配) / 后(标配),(标配)主驾膝部气囊,(标配),(标配),,,,
70754,奔驰EQE,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,(标配),(标配),,,,
70753,奔驰EQE,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,(标配),(标配),,,,
69750,奔驰EQE,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,(标配),(标配),,,,
69333,奔驰EQB,主(标配) / 副(标配),前(标配) / 后-,前(标配) / 后(标配),(标配)主驾膝部气囊,,(标配),,,,
69332,奔驰EQB,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,,(标配),,,,
71114,奔驰CLA AMG,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,,(标配),,,,
68688,奔驰CLA AMG,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,,(标配),,,,
69334,奔驰EQA,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,,(标配),,,,
63847,奔驰GLC AMG,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,(标配),,,,,
62313,奔驰GLS AMG,主(标配) / 副(标配),前(标配) / 后(标配),前(标配) / 后(标配),,,,,,,
70838,奔驰GLE轿跑,主(标配) / 副(标配),前(标配) / 后-,前(标配) / 后(标配),,,,,,,
70837,奔驰GLE轿跑,主(标配) / 副(标配),前(标配) / 后-,前(标配) / 后(标配),,,,,,,
70836,奔驰GLE轿跑,主(标配) / 副(标配),前(标配) / 后-,前(标配) / 后(标配),,,,,,,
70835,奔驰GLE轿跑,主(标配) / 副(标配),前(标配) / 后-,前(标配) / 后(标配),,,,,,,
59841,奔驰B级,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,,,,,,
59842,奔驰B级,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,,,,,,
59847,奔驰A级(进口),主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,,(标配),,,,
59846,奔驰A级(进口),主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,,(标配),,,,
60934,奔驰E级AMG,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,,(标配),,(标配),,
69745,奔驰C级新能源,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,(标配),(标配),,,,
71974,奔驰C级新能源,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,(标配),(标配),,,,
64290,奔驰SL级AMG,主(标配) / 副(标配),前(标配) / 后-,前(标配) / 后-,,,,,,,
61685,奔驰EQS,主(标配) / 副(标配),前(标配) / 后(标配),前(标配) / 后(标配),(标配)主驾膝部气囊,,(标配),,,,
61683,奔驰EQS,主(标配) / 副(标配),前(标配) / 后(标配),前(标配) / 后(标配),(标配)主驾膝部气囊,,(标配),,,,
61684,奔驰EQS,主(标配) / 副(标配),前(标配) / 后(标配),前(标配) / 后(标配),(标配)主驾膝部气囊,,(标配),,,,
67883,奔驰G级新能源,主(标配) / 副(标配),前(标配) / 后(标配),前(标配) / 后(标配),"(标配)主驾膝部气囊,(标配)副驾膝部气囊",,,,,,
68027,奔驰GLC轿跑 AMG,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,(标配),,,,,
68264,奔驰GLC新能源,主(标配) / 副(标配),前(标配) / 后-,前(标配) / 后(标配),(标配)主驾膝部气囊,(标配),(标配),,,,
71117,奔驰S级AMG新能源,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,(标配),(标配),(选配),,,
67865,奔驰S级AMG新能源,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,(标配),(标配),(选配),,,
65986,奔驰S级新能源,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,(标配),(标配),(选配),,,
71822,奔驰S级新能源,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,(标配),(标配),(选配),,,
72446,奔驰GLA AMG,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,,,,,,
65909,奔驰GLA AMG,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,,,,,,
68011,迈巴赫EQS SUV,主(标配) / 副(标配),前(标配) / 后(标配),前(标配) / 后(标配),(标配)主驾膝部气囊,,,(标配),,,
68012,迈巴赫EQS SUV,主(标配) / 副(标配),前(标配) / 后(标配),前(标配) / 后(标配),(标配)主驾膝部气囊,,,(标配),,,
67866,奔驰C级AMG新能源,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,(标配),(标配),,,,
71311,AMG GT新能源,主(标配) / 副(标配),前(标配) / 后-,前(标配) / 后(标配),,,(标配),,,,
61518,迈巴赫S级新能源,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),,,(标配),(标配),,,
70924,奔驰GLE轿跑 AMG,主(标配) / 副(标配),前(标配) / 后(标配),前(标配) / 后(标配),,,,,,,
1016346,乌尼莫克U5023,主(标配) / 副-,,,,,,,,,
61039,奔驰EQS SUV,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,,(标配),,,,
61040,奔驰EQS SUV,主(标配) / 副(标配),前(标配) / 后(选配),前(标配) / 后(标配),(标配)主驾膝部气囊,,(标配),,,,
