CAR_ID,品牌系列,巡航系统,辅助驾驶等级,卫星导航系统,导航路况信息显示,地图品牌,AR实景导航,并线辅助,车道保持辅助系统,车道居中保持,道路交通标识识别,自动泊车入位,自动变道辅助,匝道自动驶出(入),自动驾驶辅助路段,遥控泊车,方向盘离手检测,倒车车侧预警系统,记忆泊车,高精地图,循迹倒车,信号灯识别,起步提醒,辅助驾驶系统,代客泊车,夜视系统,远程召唤
72172,奔驰GLC,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,,(标配),(标配),(选配),(选配),(标配),(选配),,,,,,,,,,,,,,
70193,奔驰GLC,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,(标配),(标配),(标配),(选配),(选配),(标配),(选配),,,,,,,,,,,,,,
70199,奔驰GLC,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,(标配),(标配),(标配),(选配),(选配),(标配),(选配),,,,,,,,,,,,,,
70198,奔驰GLC,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,,(标配),(标配),(选配),(选配),(标配),(选配),(选配),(选配)高速路段,,,,,,,,,,,,
72170,奔驰GLC,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,,(标配),(标配),(选配),(选配),(标配),(选配),(选配),(选配)高速路段,,,,,,,,,,,,
72168,奔驰GLC,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,,(标配),(标配),(选配),(选配),(标配),(选配),(选配),(选配)高速路段,,,,,,,,,,,,
72167,奔驰GLC,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,,(标配),(标配),(选配),(选配),(标配),(选配),(选配),(选配)高速路段,,,,,,,,,,,,
72171,奔驰GLC,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,(标配),(标配),(标配),(选配),(选配),(标配),(选配),(选配),(选配)高速路段,,,,,,,,,,,,
70195,奔驰GLC,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,(标配),(标配),(标配),(选配),(选配),(标配),(选配),(选配),(选配)高速路段,,,,,,,,,,,,
71972,奔驰C级,(标配)全速自适应巡航,,(标配),(标配),(标配)高德,,,(标配),,,(标配),,,,,,,,,,,,,,,
71962,奔驰C级,(标配)全速自适应巡航,(选配)L2,(标配),(标配),(标配)高德,(选配),(选配),(标配),(选配),(选配),(标配),(选配),,,,,,,,,,,,,,
69626,奔驰C级,(标配)全速自适应巡航,(选配)L2,(标配),(标配),(标配)高德,(选配),(选配),(标配),(选配),(选配),(标配),(选配),,,,,,,,,,,,,,
71923,奔驰C级,(标配)全速自适应巡航,(选配)L2,(标配),(标配),(标配)高德,(选配),(选配),(标配),(选配),(选配),(标配),(选配),,,,,,,,,,,,,,
69596,奔驰C级,(标配)全速自适应巡航,(选配)L2,(标配),(标配),(标配)高德,(选配),(标配),(标配),(选配),(选配),(标配),(选配),,,,,,,,,,,,,,
69625,奔驰C级,(标配)全速自适应巡航,,(标配),(标配),(标配)高德,,,(标配),,,(标配),,,,,,,,,,,,,,,
69627,奔驰C级,(标配)全速自适应巡航,(选配)L2,(标配),(标配),(标配)高德,(选配),(选配),(标配),(选配),(选配),(标配),(选配),,,,,,,,,,,,,,
69628,奔驰C级,(标配)全速自适应巡航,(选配)L2,(标配),(标配),(标配)高德,(选配),(选配),(标配),(选配),(选配),(标配),(选配),,,,,,,,,,,,,,
71924,奔驰C级,(标配)全速自适应巡航,(选配)L2,(标配),(标配),(标配)高德,(选配),(选配),(标配),(选配),(选配),(标配),(选配),,,,,,,,,,,,,,
71973,奔驰C级,(标配)全速自适应巡航,(选配)L2,(标配),(标配),(标配)高德,(选配),(标配),(标配),(选配),(选配),(标配),(选配),,,,,,,,,,,,,,
72315,奔驰GLE,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,,(标配),(标配),(标配),(标配),(标配),(标配),,,,,,,,,,,,,,
70263,奔驰GLE,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,,(标配),(标配),(标配),(标配),(标配),(标配),,,,,,,,,,,,,,
70262,奔驰GLE,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,,(标配),(标配),(标配),(标配),(标配),(标配),,,,,,,,,,,,,,
72316,奔驰GLE,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,(选配),(标配),(标配),(标配),(标配),(标配),(标配),,,,,,,,,,,,,,
72313,奔驰GLE,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,,(标配),(标配),(标配),(标配),(标配),(标配),,,,,,,,,,,,,,
70264,奔驰GLE,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,,(标配),(标配),(标配),(标配),(标配),(标配),,,,,,,,,,,,,,
72314,奔驰GLE,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,,(标配),(标配),(标配),(标配),(标配),(标配),,,,,,,,,,,,,,
70265,奔驰GLE,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,(选配),(标配),(标配),(标配),(标配),(标配),(标配),,,,,,,,,,,,,,
71821,奔驰S级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,(标配),(标配),(标配),(标配),(标配),(标配),(标配),(标配),(标配)高速路段,,,,,,,,,,,,
71819,奔驰S级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,(标配),(标配),(标配),(标配),(标配),(标配),(标配),(标配),(标配)高速路段,(标配),,,,,,,,,,,
71820,奔驰S级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,(标配),(标配),(标配),(标配),(标配),(标配),(标配),(标配),(标配)高速路段,(标配),,,,,,,,,,,
71818,奔驰S级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,(标配),(标配),(标配),(标配),(标配),(标配),(标配),(标配),(标配)高速路段,(标配),,,,,,,,,,,
67448,奔驰S级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,(标配),(标配),(标配),(选配),(标配),(标配),(选配),,,,,,,,,,,,,,
67449,奔驰S级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,(标配),(标配),(标配),(选配),(标配),(标配),(选配),,,(标配),,,,,,,,,,,
67450,奔驰S级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,(标配),(标配),(标配),(标配),(标配),(标配),(标配),,,(标配),,,,,,,,,,,
67451,奔驰S级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,(标配),(标配),(标配),(标配),(标配),(标配),(标配),,,(标配),,,,,,,,,,,
70558,迈巴赫S级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,(标配),(标配),(标配),(标配),(标配),(标配),(标配),(标配),(标配)高速路段,(标配),,,,,,,,,,,
67444,迈巴赫S级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,(标配),(标配),(标配),(标配),(标配),(标配),(标配),(标配),,(标配),,,,,,,,,,,
70557,迈巴赫S级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,(标配),(标配),(标配),(标配),(标配),(标配),(标配),(标配),(标配)高速路段,(标配),,,,,,,,,,,
68040,迈巴赫S级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,(标配),(标配),(标配),(标配),(标配),(标配),(标配),(标配),,(标配),,,,,,,,,,,
72308,迈巴赫S级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,(标配),(标配),(标配),(标配),(标配),(标配),(标配),(标配),(标配)高速路段,(标配),,,,,,,,,,,
72306,迈巴赫S级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,(标配),(标配),(标配),(标配),(标配),(标配),(标配),(标配),(标配)高速路段,(标配),,,,,,,,,,,
68041,迈巴赫S级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,(标配),(标配),(标配),(标配),(标配),(标配),(标配),(标配),,(标配),,,,,,,,,,,
61337,迈巴赫S级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,(标配),(标配),(标配),(标配),(标配),(标配),(标配),(标配),,(标配),,,,,,,,,,,
67446,迈巴赫S级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,(标配),(标配),(标配),(标配),(标配),(标配),(标配),,,(标配),,,,,,,,,,,
70555,迈巴赫S级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,(标配),(标配),(标配),(标配),(标配),(标配),(标配),,,(标配),,,,,,,,,,,
72307,迈巴赫S级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,(标配),(标配),(标配),(标配),(标配),(标配),(标配),,,(标配),,,,,,,,,,,
70556,迈巴赫S级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,(标配),(标配),(标配),(标配),(标配),(标配),(标配),,,(标配),,,,,,,,,,,
54579,迈巴赫S级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,(标配),(标配),(标配),(标配),(标配),(标配),(标配),,,(标配),,,,,,,,,,,
67445,迈巴赫S级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),,(标配),(标配),(标配),(标配),(标配),(标配),(标配),,,(标配),,,,,,,,,,,
72305,迈巴赫S级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),,(标配),(标配),(标配),(标配),(标配),(标配),(标配),,,(标配),,,,,,,,,,,
72410,奔驰GLB,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,,(标配),(标配),(标配),(标配),(标配),,,,,,,,,,,,,,,
72409,奔驰GLB,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,,(标配),(标配),(标配),(标配),(标配),,,,,,,,,,,,,,,
68210,奔驰GLB,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,,(标配),(标配),(标配),(标配),(标配),,,,,,,,,,,,,,,
68208,奔驰GLB,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,,(标配),(标配),(标配),(标配),(标配),,,,,,,,,,,,,,,
68209,奔驰GLB,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,(标配),(标配),(标配),(标配),(标配),(标配),(选配),,,,,,,,,,,,,,
68970,奔驰GLB,(标配)全速自适应巡航,(标配)L1,(标配),(标配),(标配)高德,,,,,,(标配),,,,,,,,,,,,,,,
72408,奔驰GLB,(标配)全速自适应巡航,(标配)L1,(标配),(标配),(标配)高德,,,,,,(标配),,,,,,,,,,,,,,,
68207,奔驰GLB,(标配)全速自适应巡航,(标配)L1,(标配),(标配),(标配)高德,,,,,,(标配),,,,,,,,,,,,,,,
68206,奔驰GLB,(标配)全速自适应巡航,(标配)L1,(标配),(标配),(标配)高德,,,,,,(标配),,,,,,,,,,,,,,,
68996,奔驰GLB,(标配)全速自适应巡航,"(标配)L1,(选配)L2",(标配),(标配),(标配)高德,(标配),(选配),(选配),(选配),,(标配),(选配),,,,,,,,,,,,,,
69208,奔驰A级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,,,(标配),,,,,,,,,,,,,,,,,,
69239,奔驰A级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,,,(标配),,,(标配),,,,,,,,,,,,,,,
65886,奔驰GLS,(标配)定速巡航,,(标配),(标配),(标配)高德,,(标配),(标配),,(标配),(标配),,,,,(标配),,,,,,,,,,
65918,奔驰GLS,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,(标配),(标配),(标配),(标配),(标配),(标配),(标配),,,,(标配),,,,,,,,,,
70560,奔驰GLS,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,(标配),(标配),(标配),(标配),(标配),(标配),(标配),,,,(标配),,,,,,,,,,
65978,奔驰G级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),,(标配),(标配),(标配),(标配),(标配),(标配),,,,,,(标配),,,,,,,,,
65977,奔驰G级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),,,(标配),(标配),(标配),,(标配),,,,,,,,,,,,,,,
66721,奔驰G级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),,,(标配),(标配),(标配),,(标配),,,,,,,,,,,,,,,
66524,奔驰G级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),,,(标配),(标配),(标配),,(标配),,,,,,,,,,,,,,,
67435,奔驰G级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),,,(标配),(标配),(标配),,(标配),,,,,,,,,,,,,,,
67805,奔驰V级,(标配)定速巡航,,(标配),(标配),(标配)高德,,(标配),(标配),,(标配),(标配),,,,,,,,,,,,,,,
69449,奔驰V级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,(标配),(标配),(标配),(标配),(标配),(标配),,,,,,,,,,,,,,,
67807,奔驰V级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,(标配),(标配),(标配),(标配),(标配),(标配),,,,,,,,,,,,,,,
67806,奔驰V级,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,(标配),(标配),(标配),(标配),(标配),(标配),,,,,,,,,,,,,,,
68065,奔驰G级AMG,(标配)全速自适应巡航,(标配)L2,(标配),(标配),,(标配),(标配),(标配),(标配),(标配),(标配),,,,,,,,,,,,,,,
67436,奔驰G级AMG,(标配)全速自适应巡航,(标配)L2,(标配),(标配),,,(标配),(标配),(标配),,(标配),,,,,,,,,,,,,,,
63735,奔驰G级AMG,(标配)全速自适应巡航,(标配)L2,(标配),(标配),,,(标配),(标配),(标配),,(标配),,,,,,,,,,,,,,,
72405,奔驰GLA,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,,,(标配),,,(标配),,,,,,,,,,,,,,,
72406,奔驰GLA,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,,,(标配),,,(标配),,,,,,,,,,,,,,,
69235,奔驰GLA,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,(标配),(选配),(标配),(选配),(选配),(标配),,,,,,,,,,,,,,,
72407,奔驰GLA,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,,,(标配),,,(标配),,,,,,,,,,,,,,,
69237,奔驰GLA,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,,,(标配),,,(标配),,,,,,,,,,,,,,,
69236,奔驰GLA,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,(标配),(选配),(标配),(选配),(选配),(标配),,,,,,,,,,,,,,,
67809,威霆,(标配)定速巡航,,(标配),(标配),(标配)高德,,,,,,,,,,,,,,,,,,,,,
67810,威霆,(标配)定速巡航,,(标配),(标配),(标配)高德,,,,,,,,,,,,,,,,,,,,,
67808,威霆,(标配)定速巡航,,(标配),(标配),(标配)高德,,,,,,,,,,,,,,,,,,,,,
67813,威霆,(标配)定速巡航,,(标配),(标配),(标配)高德,,,,,(标配),(标配),,,,,,,,,,,,,,,
67811,威霆,(标配)定速巡航,,(标配),(标配),(标配)高德,,,,,(标配),(标配),,,,,,,,,,,,,,,
67812,威霆,(标配)定速巡航,,(标配),(标配),(标配)高德,,,,,(标配),(标配),,,,,,,,,,,,,,,
70926,迈巴赫GLS,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,(标配),(标配),(标配),(标配),(标配),(标配),(标配),,,,,,,,,,,,,,
66811,迈巴赫GLS,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,(标配),(标配),(标配),(标配),(标配),(标配),(标配),,,,,,,,,,,,,,
70927,迈巴赫GLS,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,(标配),(标配),(标配),(标配),(标配),(标配),(标配),,,,,,,,,,,,,,
62314,迈巴赫GLS,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,(标配),(标配),(标配),(标配),(标配),(标配),(标配),,,,,,,,,,,,,,
63209,迈巴赫GLS,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,(标配),(标配),(标配),(标配),(标配),(标配),(标配),,,,,,,,,,,,,,
70925,迈巴赫GLS,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,(标配),(标配),(标配),(标配),(标配),(标配),(标配),,,,,,,,,,,,,,
69085,奔驰CLA(进口),(标配)全速自适应巡航,(标配)L1,(标配),(标配),(标配)高德,,,,,,(标配),,,,,,,,,,,,,,,
68971,奔驰CLA(进口),(标配)全速自适应巡航,(标配)L1,(标配),(标配),(标配)高德,(标配),,,,,(标配),,,,,,,,,,,,,,,
72341,奔驰CLA(进口),(标配)全速自适应巡航,"(标配)L1,(选配)L2",(标配),(标配),(标配)高德,(标配),(选配),(选配),(选配),(选配),(标配),,,,,,,,,,,,,,,
69086,奔驰CLA(进口),(标配)全速自适应巡航,,(标配),(标配),(标配)高德,,,,,,(标配),,,,,,,,,,,,,,,
72342,奔驰CLA(进口),(标配)全速自适应巡航,(标配)L1,(标配),(标配),(标配)高德,,,,,,(标配),,,,,,,,,,,,,,,
72343,奔驰CLA(进口),(标配)全速自适应巡航,(选配)L2,(标配),(标配),(标配)高德,,(选配),(选配),(选配),(选配),(标配),,,,,,,,,,,,,,,
69088,奔驰CLA(进口),(标配)全速自适应巡航,"(标配)L1,(选配)L2",(标配),(标配),(标配)高德,(标配),(选配),(选配),(选配),(选配),(标配),,,,,,,,,,,,,,,
69084,奔驰CLA(进口),(标配)全速自适应巡航,(标配)L1,(标配),(标配),(标配)高德,(标配),,,,,(标配),,,,,,,,,,,,,,,
71445,奔驰CLE,"(标配)自适应巡航,(选配)全速自适应巡航",(选配)L2,(标配),(标配),(标配)高德,,(标配),(标配),(选配),(选配),(标配),(选配),,,,,,,,,,,,,,
71443,奔驰CLE,"(标配)自适应巡航,(选配)全速自适应巡航",(选配)L2,(标配),(标配),(标配)高德,,(标配),(标配),(选配),(选配),(标配),(选配),,,,,,,,,,,,,,
65901,奔驰CLE,"(标配)自适应巡航,(选配)全速自适应巡航",(选配)L2,(标配),(标配),(标配)高德,,(标配),(标配),(选配),(选配),(标配),(选配),,,,,,,,,,,,,,
71442,奔驰CLE,"(标配)自适应巡航,(选配)全速自适应巡航",(选配)L2,(标配),(标配),(标配)高德,(选配),(标配),(标配),(选配),(选配),(标配),(选配),,,,,,,,,,,,,,
67283,奔驰CLE,"(标配)自适应巡航,(选配)全速自适应巡航",(选配)L2,(标配),(标配),(标配)高德,(选配),(标配),(标配),(选配),(选配),(标配),(选配),,,,,,,,,,,,,,
67439,奔驰CLE,(标配)全速自适应巡航,(选配)L2,(标配),(标配),(标配)高德,,(标配),(标配),(选配),(标配),(标配),(选配),,,,,,,,,,,,,,
71444,奔驰CLE,(标配)全速自适应巡航,(选配)L2,(标配),(标配),(标配)高德,,(标配),(标配),(选配),(标配),(标配),(选配),,,,,,,,,,,,,,
71441,奔驰CLE,(标配)全速自适应巡航,(选配)L2,(标配),(标配),(标配)高德,,(标配),(标配),(选配),(标配),(标配),(选配),,,,,,,,,,,,,,
69011,奔驰CLE,(标配)全速自适应巡航,(选配)L2,(标配),(标配),(标配)高德,(选配),(标配),(标配),(选配),(标配),(标配),(选配),,,,,,,,,,,,,,
69012,奔驰CLE,(标配)全速自适应巡航,(选配)L2,(标配),(标配),(标配)高德,(选配),(标配),(标配),(选配),(标配),(标配),(选配),,,,,,,,,,,,,,
60867,AMG GT,"(标配)定速巡航,(选配)全速自适应巡航",(选配)L2,(标配),(标配),(标配)高德,(选配),(标配),(选配),(选配),(标配),(标配),,,,,,,,,,,,,,,
67636,AMG GT,"(标配)定速巡航,(选配)全速自适应巡航",(选配)L2,(标配),(标配),(标配)高德,(选配),(标配),(选配),(选配),(标配),(标配),,,,,,,,,,,,,,,
60868,AMG GT,"(标配)定速巡航,(选配)全速自适应巡航",(选配)L2,(标配),(标配),(标配)高德,(选配),(标配),(选配),(选配),(标配),(标配),,,,,,,,,,,,,,,
63122,奔驰E级(进口),(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,,(标配),(标配),(选配),(标配),(标配),(选配),(选配),(选配)高速路段,,,,,,,,,,,,
70201,奔驰E级(进口),(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,,(标配),(标配),(标配),(标配),(标配),(标配),(标配),(标配)高速路段,,,,,,,,,,,,
63123,奔驰E级(进口),(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,(选配),(标配),(标配),(标配),(标配),(标配),(标配),(标配),(标配)高速路段,,,,,,,,,,,,
70202,奔驰E级(进口),"(标配)定速巡航,(选配)全速自适应巡航",(选配)L2,(标配),(标配),(标配)高德,(选配),(选配),(选配),(选配),(选配),(标配),,,,,,,,,,,,,,,
59860,奔驰E级(进口),"(标配)定速巡航,(选配)全速自适应巡航",(选配)L2,(标配),(标配),(标配)高德,(选配),(选配),(选配),(选配),(选配),(标配),,,,,,,,,,,,,,,
70203,奔驰E级(进口),"(标配)定速巡航,(选配)全速自适应巡航",(选配)L2,(标配),(标配),(标配)高德,(选配),(选配),(选配),(选配),(选配),(标配),,,,,,,,,,,,,,,
63124,奔驰E级(进口),"(标配)定速巡航,(选配)全速自适应巡航",(选配)L2,(标配),(标配),(标配)高德,(选配),(选配),(选配),(选配),(选配),(标配),,,,,,,,,,,,,,,
63125,奔驰E级(进口),"(标配)定速巡航,(选配)全速自适应巡航",(选配)L2,(标配),(标配),(标配)高德,(选配),(标配),(选配),(选配),(选配),(标配),,,,,,,,,,,,,,,
63004,奔驰CLS,"(标配)定速巡航,(选配)全速自适应巡航",,(标配),(标配),(标配)高德,(选配),,,,(选配),(标配),,,,,,,,,,,,,,,
63005,奔驰CLS,"(标配)定速巡航,(选配)全速自适应巡航",,(标配),(标配),(标配)高德,(选配),(标配),,,(选配),(标配),,,,,,,,,,,,,,,
63006,奔驰CLS,"(标配)定速巡航,(选配)全速自适应巡航",(选配)L2,(标配),(标配),(标配)高德,(选配),(标配),(标配),(标配),(选配),(标配),,,,,,,,,,,,,,,
61395,奔驰GLE AMG,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,(标配),(标配),(标配),(标配),(标配),(标配),(标配),,,,,,,,,,,,,,
70923,奔驰GLE AMG,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,(标配),(标配),(标配),(标配),(选配),(标配),(选配),,,,,,,,,,,,,,
70213,奔驰GLC轿跑,"(标配)自适应巡航,(选配)全速自适应巡航",(标配)L2,(标配),(标配),(标配)高德,,(标配),(标配),(选配),(选配),(标配),(选配),,,,,,,,,,,,,,
70214,奔驰GLC轿跑,"(标配)自适应巡航,(选配)全速自适应巡航",(标配)L2,(标配),(标配),(标配)高德,,(标配),(标配),(选配),(选配),(标配),(选配),,,,,,,,,,,,,,
66516,奔驰C级AMG,(标配)全速自适应巡航,(标配)L2,(标配),(标配),(标配)高德,,(标配),(标配),(选配),(选配),(标配),(选配),,,,,,,,,,,,,,
