CAR_ID,品牌系列,前制动器类型,后制动器类型,驻车制动类型,前轮胎规格,后轮胎规格,备胎规格,备胎放置方式
72171,奔驰GLC,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)255/45 R20,(标配)255/45 R20,(标配)无,
70195,奔驰GLC,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)255/45 R20,(标配)255/45 R20,(标配)无,
71972,奔驰C级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)225/45 R18,(标配)255/40 R18,(标配)无,
71962,奔驰C级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)225/45 R18,(标配)255/40 R18,(标配)无,
69626,奔驰C级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)225/45 R18,(标配)255/40 R18,(标配)无,
71923,奔驰C级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)225/45 R18,(标配)255/40 R18,(标配)无,
69596,奔驰C级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)225/45 R18,(标配)255/40 R18,(标配)无,
69625,奔驰C级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)225/45 R18,(标配)255/40 R18,(标配)无,
69627,奔驰C级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)225/45 R18,(标配)255/40 R18,(标配)无,
69628,奔驰C级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)225/45 R18,(标配)255/40 R18,(标配)无,
71924,奔驰C级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)225/45 R18,(标配)255/40 R18,(标配)无,
71973,奔驰C级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)225/45 R18,(标配)255/40 R18,(标配)无,
72315,奔驰GLE,(标配)通风盘式,(标配)盘式,(标配)电子驻车,(标配)275/55 R19,(标配)275/55 R19,(标配)无,
70263,奔驰GLE,(标配)通风盘式,(标配)盘式,(标配)电子驻车,(标配)275/50 R20,(标配)275/50 R20,(标配)无,
70262,奔驰GLE,(标配)通风盘式,(标配)盘式,(标配)电子驻车,(标配)275/50 R20,(标配)275/50 R20,(标配)无,
72316,奔驰GLE,(标配)通风盘式,(标配)盘式,(标配)电子驻车,(标配)275/45 R21,(标配)315/40 R21,(标配)无,
72313,奔驰GLE,(标配)通风盘式,(标配)盘式,(标配)电子驻车,(标配)275/50 R20,(标配)275/50 R20,(标配)无,
70264,奔驰GLE,(标配)通风盘式,(标配)盘式,(标配)电子驻车,(标配)275/50 R20,(标配)275/50 R20,(标配)无,
72314,奔驰GLE,(标配)通风盘式,(标配)盘式,(标配)电子驻车,(标配)275/50 R20,(标配)275/50 R20,(标配)无,
70265,奔驰GLE,(标配)通风盘式,(标配)盘式,(标配)电子驻车,(标配)275/45 R21,(标配)315/40 R21,(标配)无,
71821,奔驰S级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)255/45 R19,(标配)255/45 R19,(标配)无,
71819,奔驰S级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)255/45 R19,(标配)255/45 R19,(标配)无,
71820,奔驰S级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)255/40 R20,(标配)285/35 R20,(标配)无,
71818,奔驰S级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)255/40 R20,(标配)285/35 R20,(标配)无,
67448,奔驰S级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)255/45 R19,(标配)255/45 R19,(标配)无,
67449,奔驰S级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)255/45 R19,(标配)255/45 R19,(标配)无,
67450,奔驰S级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)255/40 R20,(标配)285/35 R20,(标配)无,
67451,奔驰S级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)255/40 R20,(标配)285/35 R20,(标配)无,
70558,迈巴赫S级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)255/45 R19,(标配)255/45 R19,(标配)无,
67444,迈巴赫S级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)255/45 R19,(标配)255/45 R19,(标配)无,
70557,迈巴赫S级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)255/40 R20,(标配)285/35 R20,(标配)无,
68040,迈巴赫S级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)255/40 R20,(标配)285/35 R20,(标配)无,
72308,迈巴赫S级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)255/40 R20,(标配)285/35 R20,(标配)无,
72306,迈巴赫S级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)255/40 R20,(标配)285/35 R20,(标配)无,
68041,迈巴赫S级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)255/40 R20,(标配)285/35 R20,(标配)无,
61337,迈巴赫S级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)255/40 R20,(标配)285/35 R20,(标配)无,
67446,迈巴赫S级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)255/45 R19,(标配)255/45 R19,(标配)无,
70555,迈巴赫S级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)255/40 R20,(标配)285/35 R20,(标配)无,
72307,迈巴赫S级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)255/40 R20,(标配)285/35 R20,(标配)无,
70556,迈巴赫S级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)255/40 R20,(标配)285/35 R20,(标配)无,
54579,迈巴赫S级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)255/40 R20,(标配)285/35 R20,(标配)无,
67445,迈巴赫S级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)255/40 R20,(标配)285/35 R20,(标配)无,
72305,迈巴赫S级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)255/40 R20,(标配)285/35 R20,(标配)无,
72410,奔驰GLB,(标配)通风盘式,(标配)盘式,(标配)电子驻车,(标配)235/55 R18,(标配)235/55 R18,(标配)无,
72409,奔驰GLB,(标配)通风盘式,(标配)盘式,(标配)电子驻车,(标配)235/55 R18,(标配)235/55 R18,(标配)无,
68210,奔驰GLB,(标配)通风盘式,(标配)盘式,(标配)电子驻车,(标配)235/55 R18,(标配)235/55 R18,(标配)无,
68208,奔驰GLB,(标配)通风盘式,(标配)盘式,(标配)电子驻车,(标配)235/50 R19,(标配)235/50 R19,(标配)无,
68209,奔驰GLB,(标配)通风盘式,(标配)盘式,(标配)电子驻车,(标配)235/50 R19,(标配)235/50 R19,(标配)无,
68970,奔驰GLB,(标配)通风盘式,(标配)盘式,(标配)电子驻车,(标配)235/55 R18,(标配)235/55 R18,(标配)无,
72408,奔驰GLB,(标配)通风盘式,(标配)盘式,(标配)电子驻车,(标配)235/55 R18,(标配)235/55 R18,(标配)无,
68207,奔驰GLB,(标配)通风盘式,(标配)盘式,(标配)电子驻车,(标配)235/55 R18,(标配)235/55 R18,(标配)无,
68206,奔驰GLB,(标配)通风盘式,(标配)盘式,(标配)电子驻车,(标配)235/50 R19,(标配)235/50 R19,(标配)无,
68996,奔驰GLB,(标配)通风盘式,(标配)盘式,(标配)电子驻车,(标配)235/50 R19,(标配)235/50 R19,(标配)无,
69208,奔驰A级,(标配)通风盘式,(标配)盘式,(标配)电子驻车,(标配)205/55 R17,(标配)205/55 R17,(标配)无,
69239,奔驰A级,(标配)通风盘式,(标配)盘式,(标配)电子驻车,(标配)205/55 R17,(标配)205/55 R17,(标配)无,
65886,奔驰GLS,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)275/50 R20,(标配)275/50 R20,(标配)无,
65918,奔驰GLS,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)275/45 R21,(标配)315/40 R21,(标配)无,
70560,奔驰GLS,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)285/45 R22,(标配)325/40 R22,(标配)无,
65978,奔驰G级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,"(标配)275/55 R19,(选配)275/50 R20","(标配)275/55 R19,(选配)275/50 R20",(标配)全尺寸,(标配)背负式
65977,奔驰G级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)275/55 R19,(标配)275/55 R19,(标配)全尺寸,(标配)背负式
66721,奔驰G级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)275/55 R19,(标配)275/55 R19,(标配)全尺寸,(标配)背负式
66524,奔驰G级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)275/50 R20,(标配)275/50 R20,(标配)全尺寸,(标配)背负式
67435,奔驰G级,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)275/55 R19,(标配)275/55 R19,(标配)全尺寸,(标配)背负式
67805,奔驰V级,(标配)通风盘式,(标配)盘式,(标配)电子驻车,(标配)245/50 R18,(标配)245/50 R18,(标配)非全尺寸,(标配)底挂式
69449,奔驰V级,(标配)通风盘式,(标配)盘式,(标配)电子驻车,(标配)245/50 R18,(标配)245/50 R18,(标配)非全尺寸,(标配)底挂式
67807,奔驰V级,(标配)通风盘式,(标配)盘式,(标配)电子驻车,(标配)245/45 R19,(标配)245/45 R19,(标配)非全尺寸,(标配)底挂式
67806,奔驰V级,(标配)通风盘式,(标配)盘式,(标配)电子驻车,(标配)245/45 R19,(标配)245/45 R19,(标配)非全尺寸,(标配)底挂式
68065,奔驰G级AMG,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)295/40 R22,(标配)295/40 R22,(标配)全尺寸,(标配)背负式
67436,奔驰G级AMG,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)295/40 R22,(标配)295/40 R22,(标配)全尺寸,(标配)背负式
63735,奔驰G级AMG,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)295/40 R22,(标配)295/40 R22,(标配)全尺寸,(标配)背负式
72405,奔驰GLA,(标配)通风盘式,(标配)盘式,(标配)电子驻车,(标配)235/55 R18,(标配)235/55 R18,(标配)无,
72406,奔驰GLA,(标配)通风盘式,(标配)盘式,(标配)电子驻车,(标配)235/55 R18,(标配)235/55 R18,(标配)无,
69235,奔驰GLA,(标配)通风盘式,(标配)盘式,(标配)电子驻车,(标配)235/50 R19,(标配)235/50 R19,(标配)无,
72407,奔驰GLA,(标配)通风盘式,(标配)盘式,(标配)电子驻车,(标配)235/55 R18,(标配)235/55 R18,(标配)无,
69237,奔驰GLA,(标配)通风盘式,(标配)盘式,(标配)电子驻车,(标配)235/55 R18,(标配)235/55 R18,(标配)无,
69236,奔驰GLA,(标配)通风盘式,(标配)盘式,(标配)电子驻车,(标配)235/50 R19,(标配)235/50 R19,(标配)无,
67809,威霆,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)235/55 R17,(标配)235/55 R17,(标配)非全尺寸,(标配)底挂式
67810,威霆,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)235/55 R17,(标配)235/55 R17,(标配)非全尺寸,(标配)底挂式
67808,威霆,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)235/55 R17,(标配)235/55 R17,(标配)非全尺寸,(标配)底挂式
67813,威霆,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)235/55 R17,(标配)235/55 R17,(标配)非全尺寸,(标配)底挂式
67811,威霆,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)235/55 R17,(标配)235/55 R17,(标配)非全尺寸,(标配)底挂式
67812,威霆,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)235/55 R17,(标配)235/55 R17,(标配)非全尺寸,(标配)底挂式
70926,迈巴赫GLS,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,"(标配)285/45 R22,(选配)285/40 R23","(标配)325/40 R22,(选配)325/35 R23",(标配)无,
66811,迈巴赫GLS,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,"(标配)285/45 R22,(选配)285/40 R23","(标配)325/40 R22,(选配)325/35 R23",(标配)无,
70927,迈巴赫GLS,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)285/40 R23,(标配)325/35 R23,(标配)无,
62314,迈巴赫GLS,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,"(标配)285/45 R22,(选配)285/40 R23","(标配)325/40 R22,(选配)325/35 R23",(标配)无,
63209,迈巴赫GLS,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,"(标配)285/45 R22,(选配)285/40 R23","(标配)325/40 R22,(选配)325/35 R23",(标配)无,
70925,迈巴赫GLS,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)285/40 R23,(标配)325/35 R23,(标配)无,
69085,奔驰CLA(进口),(标配)通风盘式,(标配)盘式,(标配)电子驻车,(标配)225/45 R18,(标配)225/45 R18,(标配)无,
68971,奔驰CLA(进口),(标配)通风盘式,(标配)盘式,(标配)电子驻车,(标配)225/45 R18,(标配)225/45 R18,(标配)无,
72341,奔驰CLA(进口),(标配)通风盘式,(标配)盘式,(标配)电子驻车,(标配)225/45 R18,(标配)225/45 R18,(标配)无,
69086,奔驰CLA(进口),(标配)通风盘式,(标配)盘式,(标配)电子驻车,(标配)225/45 R18,(标配)225/45 R18,(标配)无,
72342,奔驰CLA(进口),(标配)通风盘式,(标配)盘式,(标配)电子驻车,(标配)225/45 R18,(标配)225/45 R18,(标配)无,
72343,奔驰CLA(进口),(标配)通风盘式,(标配)盘式,(标配)电子驻车,(标配)225/45 R18,(标配)225/45 R18,(标配)无,
69088,奔驰CLA(进口),(标配)通风盘式,(标配)盘式,(标配)电子驻车,(标配)225/45 R18,(标配)225/45 R18,(标配)无,
69084,奔驰CLA(进口),(标配)通风盘式,(标配)盘式,(标配)电子驻车,(标配)225/45 R18,(标配)225/45 R18,(标配)无,
71445,奔驰CLE,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)245/40 R19,(标配)275/35 R19,,
71443,奔驰CLE,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)245/40 R19,(标配)275/35 R19,,
65901,奔驰CLE,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)245/40 R19,(标配)275/35 R19,,
71442,奔驰CLE,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)245/40 R19,(标配)275/35 R19,,
67283,奔驰CLE,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)245/40 R19,(标配)275/35 R19,,
67439,奔驰CLE,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)245/40 R19,(标配)275/35 R19,"(标配)无,(选配)补胎工具",
71444,奔驰CLE,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)245/40 R19,(标配)275/35 R19,,
71441,奔驰CLE,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)245/40 R19,(标配)275/35 R19,"(标配)无,(选配)补胎工具",
69011,奔驰CLE,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)245/40 R19,(标配)275/35 R19,"(标配)无,(选配)补胎工具",
69012,奔驰CLE,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)245/40 R19,(标配)275/35 R19,,
60867,AMG GT,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)265/40 R20,(标配)295/35 R20,(标配)无,
67636,AMG GT,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)255/45 R19,(标配)285/40 R19,(标配)无,
60868,AMG GT,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)265/40 R20,(标配)295/35 R20,(标配)无,
63122,奔驰E级(进口),(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)245/45 R19,(标配)275/40 R19,,
70201,奔驰E级(进口),(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,"(标配)245/45 R19,(选配)245/40 R20","(标配)275/40 R19,(选配)275/35 R20",,
63123,奔驰E级(进口),(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)245/40 R20,(标配)275/35 R20,,
70202,奔驰E级(进口),(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)245/40 R19,(标配)275/35 R19,(标配)无,
59860,奔驰E级(进口),(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)245/40 R19,(标配)275/35 R19,(标配)无,
70203,奔驰E级(进口),(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)245/40 R19,(标配)275/35 R19,(标配)无,
63124,奔驰E级(进口),(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)245/40 R19,(标配)275/35 R19,(标配)无,
63125,奔驰E级(进口),(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)245/40 R19,(标配)275/35 R19,(标配)无,
63004,奔驰CLS,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)245/40 R19,(标配)275/35 R19,(标配)无,
63005,奔驰CLS,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)245/40 R19,(标配)275/35 R19,(标配)无,
63006,奔驰CLS,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)245/40 R19,(标配)275/35 R19,(标配)无,
61395,奔驰GLE AMG,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,"(标配)275/45 R21,(选配)285/40 R22","(标配)315/40 R21,(选配)325/35 R22",(标配)无,
70923,奔驰GLE AMG,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)275/45 R21,(标配)315/40 R21,(标配)无,
70213,奔驰GLC轿跑,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,"(标配)235/55 R19,(选配)255/45 R20","(标配)255/50 R19,(选配)285/40 R20",(标配)无,
70214,奔驰GLC轿跑,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)255/45 R20,(标配)285/40 R20,(标配)无,
66516,奔驰C级AMG,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,"(标配)245/40 R19,(选配)245/35 R20","(标配)265/35 R19,(选配)265/30 R20",(标配)补胎工具,
66517,奔驰C级AMG,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)245/35 R20,(标配)265/30 R20,(标配)补胎工具,
70273,奔驰GLE新能源,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)275/50 R20,(标配)275/50 R20,(标配)无,
71115,奔驰A级AMG,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)235/35 R19,(标配)235/35 R19,(标配)无,
71170,奔驰CLE AMG,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)265/40 R19,(标配)295/35 R19,(标配)无,
65910,奔驰GLB AMG,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)255/40 R20,(标配)255/40 R20,(标配)无,
71116,奔驰A级AMG(进口),(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)245/35 R19,(标配)245/35 R19,(标配)无,
68606,奔驰A级AMG(进口),(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)245/35 R19,(标配)245/35 R19,(标配)无,
66533,奔驰A级AMG(进口),(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)235/35 R19,(标配)235/35 R19,(标配)无,
68559,奔驰E级新能源,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)245/45 R19,(标配)275/40 R19,(标配)无,
65775,奔驰E级新能源,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)245/45 R19,(标配)275/40 R19,(标配)无,
70754,奔驰EQE,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)255/45 R19,(标配)255/45 R19,(标配)无,
70753,奔驰EQE,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)255/45 R19,(标配)255/45 R19,(标配)无,
69750,奔驰EQE,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)255/40 R20,(标配)255/40 R20,(标配)无,
69333,奔驰EQB,(标配)通风盘式,(标配)盘式,(标配)电子驻车,"(标配)235/55 R18,(选配)235/50 R19","(标配)235/55 R18,(选配)235/50 R19",(标配)无,
69332,奔驰EQB,(标配)通风盘式,(标配)盘式,(标配)电子驻车,(标配)235/50 R19,(标配)235/50 R19,(标配)无,
71114,奔驰CLA AMG,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)245/35 R19,(标配)245/35 R19,(标配)无,
68688,奔驰CLA AMG,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)255/35 R19,(标配)255/35 R19,(标配)无,
69334,奔驰EQA,(标配)通风盘式,(标配)盘式,(标配)电子驻车,"(标配)235/55 R18,(选配)235/50 R19","(标配)235/55 R18,(选配)235/50 R19",(标配)无,
63847,奔驰GLC AMG,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)265/45 R20,(标配)295/40 R20,(标配)无,
62313,奔驰GLS AMG,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)285/40 R23,(标配)325/35 R23,,
70838,奔驰GLE轿跑,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)275/50 R20,(标配)275/50 R20,(标配)无,
70837,奔驰GLE轿跑,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)275/50 R20,(标配)275/50 R20,(标配)无,
70836,奔驰GLE轿跑,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)275/50 R20,(标配)275/50 R20,(标配)无,
70835,奔驰GLE轿跑,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)275/45 R21,(标配)315/40 R21,(标配)无,
59841,奔驰B级,(标配)通风盘式,(标配)盘式,(标配)电子驻车,(标配)205/55 R17,(标配)205/55 R17,(标配)无,
59842,奔驰B级,(标配)通风盘式,(标配)盘式,(标配)电子驻车,(标配)205/55 R17,(标配)205/55 R17,(标配)无,
59847,奔驰A级(进口),(标配)通风盘式,(标配)盘式,(标配)电子驻车,(标配)205/55 R17,(标配)205/55 R17,(标配)无,
59846,奔驰A级(进口),(标配)通风盘式,(标配)盘式,(标配)电子驻车,(标配)205/55 R17,(标配)205/55 R17,(标配)无,
60934,奔驰E级AMG,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)245/35 R20,(标配)275/30 R20,(标配)无,
69745,奔驰C级新能源,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)225/45 R18,(标配)255/40 R18,(标配)无,
71974,奔驰C级新能源,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)225/45 R18,(标配)255/40 R18,(标配)无,
64290,奔驰SL级AMG,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)265/40 R20,(标配)295/35 R20,(标配)补胎工具,
61685,奔驰EQS,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)255/45 R20,(标配)255/45 R20,(标配)无,
61683,奔驰EQS,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)255/45 R20,(标配)255/45 R20,(标配)无,
61684,奔驰EQS,(标配)通风盘式,(标配)通风盘式,(标配)电子驻车,(标配)265/40 R21,(标配)265/40 R21,(标配)无,
