CAR_ID,品牌系列,驾驶模式切换,发动机启停技术,自动驻车,上坡辅助,陡坡缓降,可变悬架功能,可变转向比,能量回收系统,空气悬架,整体主动转向系统,魔毯智能悬架,单踏板模式,电磁感应悬架
71821,奔驰S级,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,"(标配)悬架软硬调节,(标配)悬架高低调节",(标配),(标配),(标配),,,,
71819,奔驰S级,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,"(标配)悬架软硬调节,(标配)悬架高低调节",(标配),(标配),(标配),,,,
71820,奔驰S级,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,"(标配)悬架软硬调节,(标配)悬架高低调节",(标配),(标配),(标配),(选配),,,
71818,奔驰S级,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,"(标配)悬架软硬调节,(标配)悬架高低调节",(标配),(标配),(标配),(选配),,,
67448,奔驰S级,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,"(标配)悬架软硬调节,(标配)悬架高低调节",(标配),(标配),(标配),,,,
67449,奔驰S级,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,"(标配)悬架软硬调节,(标配)悬架高低调节",(标配),(标配),(标配),,,,
67450,奔驰S级,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,"(标配)悬架软硬调节,(标配)悬架高低调节",(标配),(标配),(标配),(选配),,,
67451,奔驰S级,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,"(标配)悬架软硬调节,(标配)悬架高低调节",(标配),(标配),(标配),(选配),,,
70558,迈巴赫S级,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,"(标配)悬架软硬调节,(标配)悬架高低调节",(标配),(标配),(标配),(选配),,,
67444,迈巴赫S级,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,"(标配)悬架软硬调节,(标配)悬架高低调节",(标配),(标配),(标配),(选配),,,
70557,迈巴赫S级,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,"(标配)悬架软硬调节,(标配)悬架高低调节",(标配),(标配),(标配),(选配),(选配),,
68040,迈巴赫S级,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,"(标配)悬架软硬调节,(标配)悬架高低调节",(标配),(标配),(标配),(选配),(选配),,
72308,迈巴赫S级,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,"(标配)悬架软硬调节,(标配)悬架高低调节",(标配),,(标配),(标配),,,
72306,迈巴赫S级,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,"(标配)悬架软硬调节,(标配)悬架高低调节",(标配),,(标配),(标配),,,
68041,迈巴赫S级,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,"(标配)悬架软硬调节,(标配)悬架高低调节",(标配),,(标配),(标配),,,
61337,迈巴赫S级,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,"(标配)悬架软硬调节,(标配)悬架高低调节",(标配),,(标配),(标配),,,
67446,迈巴赫S级,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,"(标配)悬架软硬调节,(标配)悬架高低调节",(标配),(标配),(标配),(选配),,,
70555,迈巴赫S级,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,"(标配)悬架软硬调节,(标配)悬架高低调节",(标配),(标配),(标配),(选配),,,
72307,迈巴赫S级,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,"(标配)悬架软硬调节,(标配)悬架高低调节",(标配),(标配),(标配),(选配),,,
70556,迈巴赫S级,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,"(标配)悬架软硬调节,(标配)悬架高低调节",(标配),,(标配),(标配),,,
54579,迈巴赫S级,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,"(标配)悬架软硬调节,(标配)悬架高低调节",(标配),,(标配),(标配),,,
67445,迈巴赫S级,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,"(标配)悬架软硬调节,(标配)悬架高低调节",(标配),,(标配),(选配),,,
72305,迈巴赫S级,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,"(标配)悬架软硬调节,(标配)悬架高低调节",(标配),,(标配),(选配),,,
72410,奔驰GLB,"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,,,,,,,,
72409,奔驰GLB,"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,,,,,,,,
68210,奔驰GLB,"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,,,,,,,,
68208,奔驰GLB,"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,,,,,,,,
68209,奔驰GLB,"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),(标配),,,,,,,,
68970,奔驰GLB,"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,,,,,,,,
72408,奔驰GLB,"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,,,,,,,,
68207,奔驰GLB,"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,,,,,,,,
68206,奔驰GLB,"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,,,,,,,,
68996,奔驰GLB,"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),(标配),,,,,,,,
69208,奔驰A级,"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,,,,,,,,
69239,奔驰A级,"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,,,,,,,,
65886,奔驰GLS,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)越野,(标配)雪地,(标配)自定义/个性化",(标配),(标配),(标配),(标配),"(标配)悬架软硬调节,(标配)悬架高低调节",(标配),,(标配),,,,
65918,奔驰GLS,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)越野,(标配)雪地,(标配)自定义/个性化",(标配),(标配),(标配),(标配),"(标配)悬架软硬调节,(标配)悬架高低调节",(标配),,(标配),,,,
70560,奔驰GLS,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)越野,(标配)雪地,(标配)自定义/个性化",(标配),(标配),(标配),(标配),"(标配)悬架软硬调节,(标配)悬架高低调节",(标配),,(标配),,,,
65978,奔驰G级,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)越野,(标配)自定义/个性化",(标配),(标配),(标配),(标配),(标配)悬架软硬调节,(标配),,,,,,
65977,奔驰G级,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)越野",(标配),(标配),(标配),,,(标配),,,,,,
66721,奔驰G级,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)越野",(标配),(标配),(标配),,(标配)悬架软硬调节,(标配),,,,,,
66524,奔驰G级,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)越野",(标配),(标配),(标配),,(标配)悬架软硬调节,(标配),,,,,,
67435,奔驰G级,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)越野",(标配),(标配),(标配),,(标配)悬架软硬调节,(标配),,,,,,
67805,奔驰V级,"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,"(标配)悬架软硬调节,(标配)悬架高低调节",,,(标配),,,,
69449,奔驰V级,"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,"(标配)悬架软硬调节,(标配)悬架高低调节",,,(标配),,,,
67807,奔驰V级,"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,"(标配)悬架软硬调节,(标配)悬架高低调节",,,(标配),,,,
67806,奔驰V级,"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,"(标配)悬架软硬调节,(标配)悬架高低调节",,,(标配),,,,
68065,奔驰G级AMG,"(标配)运动,(标配)标准/舒适,(标配)越野,(标配)雪地,(标配)自定义/个性化",(标配),(标配),(标配),(标配),(标配)悬架软硬调节,(标配),,,,,,
67436,奔驰G级AMG,"(标配)运动,(标配)标准/舒适,(标配)越野,(标配)雪地",(标配),(标配),(标配),(标配),(标配)悬架软硬调节,(标配),,,,,,
63735,奔驰G级AMG,"(标配)运动,(标配)标准/舒适,(标配)越野,(标配)雪地",(标配),(标配),(标配),(标配),(标配)悬架软硬调节,(标配),,,,,,
72405,奔驰GLA,"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,,,,,,,,
72406,奔驰GLA,"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,,,,,,,,
69235,奔驰GLA,"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,,,,,,,,
72407,奔驰GLA,"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,,,,,,,,
69237,奔驰GLA,"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,,,,,,,,
69236,奔驰GLA,"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,,,,,,,,
67809,威霆,"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,,,,,,,,
67810,威霆,"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,,,,,,,,
67808,威霆,"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,,,,,,,,
67813,威霆,"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,,,,,,,,
67811,威霆,"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,,,,,,,,
67812,威霆,"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,,,,,,,,
70926,迈巴赫GLS,"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),(标配),"(标配)悬架软硬调节,(标配)悬架高低调节",(标配),(标配),(标配),,,,
66811,迈巴赫GLS,"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),(标配),"(标配)悬架软硬调节,(标配)悬架高低调节",(标配),(标配),(标配),,(选配),,
70927,迈巴赫GLS,"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),(标配),"(标配)悬架软硬调节,(标配)悬架高低调节",(标配),(标配),(标配),,(选配),,
62314,迈巴赫GLS,"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),(标配),"(标配)悬架软硬调节,(标配)悬架高低调节",(标配),(标配),(标配),,,,
63209,迈巴赫GLS,"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),(标配),"(标配)悬架软硬调节,(标配)悬架高低调节",(标配),(标配),(标配),,(选配),,
70925,迈巴赫GLS,"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),(标配),"(标配)悬架软硬调节,(标配)悬架高低调节",(标配),(标配),(标配),,,,
69085,奔驰CLA(进口),"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,,(标配),,,,,,
68971,奔驰CLA(进口),"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,,(标配),,,,,,
72341,奔驰CLA(进口),"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,,(标配),,,,,,
69086,奔驰CLA(进口),"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,,(标配),,,,,,
72342,奔驰CLA(进口),"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,,(标配),,,,,,
72343,奔驰CLA(进口),"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,,(标配),,,,,,
69088,奔驰CLA(进口),"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,,(标配),,,,,,
69084,奔驰CLA(进口),"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,,(标配),,,,,,
71445,奔驰CLE,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,,(标配),,,,,,
71443,奔驰CLE,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,,(标配),,,,,,
65901,奔驰CLE,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,,(标配),,,,,,
71442,奔驰CLE,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,,(标配),,,,,,
67283,奔驰CLE,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,,(标配),,,,,,
67439,奔驰CLE,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,,(标配),,,,,,
71444,奔驰CLE,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,,(标配),,,,,,
71441,奔驰CLE,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,,(标配),,,,,,
69011,奔驰CLE,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,,(标配),,,,,,
69012,奔驰CLE,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,,(标配),,,,,,
60867,AMG GT,"(标配)运动,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,"(标配)悬架软硬调节,(选配)悬架高低调节",,,(选配),(选配),,,
67636,AMG GT,"(标配)运动,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,(标配)悬架软硬调节,,,,,,,
60868,AMG GT,"(标配)运动,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,(标配)悬架软硬调节,,,,,,,
63122,奔驰E级(进口),"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,(标配)悬架软硬调节,(标配),,,,,,
70201,奔驰E级(进口),"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,(标配)悬架软硬调节,(标配),,,,,,
63123,奔驰E级(进口),"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,(标配)悬架软硬调节,(标配),,,,,,
70202,奔驰E级(进口),"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,(标配)悬架软硬调节,(标配),,,,,,
59860,奔驰E级(进口),"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,(标配)悬架软硬调节,(标配),,,,,,
70203,奔驰E级(进口),"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,(标配)悬架软硬调节,(标配),,,,,,
63124,奔驰E级(进口),"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,(标配)悬架软硬调节,(标配),,,,,,
63125,奔驰E级(进口),"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,(标配)悬架软硬调节,(标配),,,,,,
63004,奔驰CLS,"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,,(标配),,,,,,
63005,奔驰CLS,"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,,(标配),,,,,,
63006,奔驰CLS,"(标配)运动,(标配)经济,(标配)标准/舒适",(标配),(标配),(标配),,,(标配),,,,,,
61395,奔驰GLE AMG,"(标配)运动,(标配)标准/舒适,(标配)越野,(标配)雪地,(标配)自定义/个性化",(标配),(标配),(标配),(标配),"(标配)悬架软硬调节,(标配)悬架高低调节",(标配),(标配),(标配),,,,
70923,奔驰GLE AMG,"(标配)运动,(标配)标准/舒适,(标配)越野,(标配)雪地,(标配)自定义/个性化",(标配),(标配),(标配),(标配),"(标配)悬架软硬调节,(标配)悬架高低调节",(标配),(标配),(标配),,,,
70213,奔驰GLC轿跑,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)越野,(标配)自定义/个性化",(标配),(标配),(标配),(标配),,(标配),,,,,,
70214,奔驰GLC轿跑,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)越野,(标配)自定义/个性化",(标配),(标配),(标配),(标配),,(标配),,,,,,
66516,奔驰C级AMG,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,(标配)悬架软硬调节,,(标配),,(标配),,,
66517,奔驰C级AMG,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,(标配)悬架软硬调节,,(标配),,(标配),,,
70273,奔驰GLE新能源,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)越野,(标配)自定义/个性化",,(标配),(标配),(标配),"(标配)悬架软硬调节,(标配)悬架高低调节",(标配),(标配),(标配),,,,
71115,奔驰A级AMG,"(标配)运动,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,,(标配),,,,,,
71170,奔驰CLE AMG,"(标配)运动,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,(标配)悬架软硬调节,(标配),,,(标配),,,
65910,奔驰GLB AMG,"(标配)运动,(标配)标准/舒适,(标配)雪地,(标配)自定义/个性化",(标配),(标配),(标配),,(标配)悬架软硬调节,(标配),,,,,,
71116,奔驰A级AMG(进口),"(标配)运动,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,(标配)悬架软硬调节,(标配),,,,,,
68606,奔驰A级AMG(进口),"(标配)运动,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,(标配)悬架软硬调节,(标配),,,,,,
66533,奔驰A级AMG(进口),"(标配)运动,(标配)标准/舒适,(标配)自定义/个性化",(标配),(标配),(标配),,(选配)悬架软硬调节,(标配),,,,,,
68559,奔驰E级新能源,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",,(标配),(标配),,(标配)悬架软硬调节,(标配),(标配),,,,,
65775,奔驰E级新能源,"(标配)运动,(标配)经济,(标配)标准/舒适,(标配)自定义/个性化",,(标配),(标配),,(标配)悬架软硬调节,(标配),(标配),,,,,
