CAR_ID,品牌系列,天窗类型,前/后电动车窗,车窗一键升降功能,车窗防夹手功能,侧窗多层隔音玻璃,后风挡遮阳帘,后排侧窗遮阳帘,车内化妆镜,后雨刷,感应雨刷功能,后排侧隐私玻璃,可加热喷水嘴,星空天窗,光感天幕
67444,迈巴赫S级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),,(标配),(标配)电动,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,(标配),,
70557,迈巴赫S级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),"(标配)前排,(标配)后排",(标配),(标配)电动,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,(标配),,
68040,迈巴赫S级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),(标配)全车,(标配),(标配)电动,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,(标配),,
72308,迈巴赫S级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),"(标配)前排,(标配)后排",(标配),(标配)电动,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,(标配),,
72306,迈巴赫S级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),"(标配)前排,(标配)后排",(标配),(标配)电动,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,(标配),,
68041,迈巴赫S级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),(标配)全车,(标配),(标配)电动,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,(标配),,
61337,迈巴赫S级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),(标配)全车,(标配),(标配)电动,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,(标配),,
67446,迈巴赫S级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),,(标配),(标配)电动,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,(标配),,
70555,迈巴赫S级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),(标配)全车,(标配),(标配)电动,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,(标配),,
72307,迈巴赫S级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),(标配)全车,(标配),(标配)电动,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,(标配),,
70556,迈巴赫S级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),(标配)全车,(标配),(标配)电动,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,(标配),,
54579,迈巴赫S级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),(标配)全车,(标配),(标配)电动,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,(标配),,
67445,迈巴赫S级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),(标配)全车,(标配),(标配)电动,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,(标配),,
72305,迈巴赫S级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),(标配)全车,(标配),(标配)电动,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,(标配),,
72410,奔驰GLB,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,,,,
72409,奔驰GLB,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,,,,
68210,奔驰GLB,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,,,,
68208,奔驰GLB,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,,,,
68209,奔驰GLB,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,(标配),,,
68970,奔驰GLB,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,,,,
72408,奔驰GLB,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,,,,
68207,奔驰GLB,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,,,,
68206,奔驰GLB,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,,,,
68996,奔驰GLB,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,(标配),,,
69208,奔驰A级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,,,
69239,奔驰A级,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,,,
65886,奔驰GLS,(标配)可开启全景天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,,,,
65918,奔驰GLS,(标配)可开启全景天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,(选配),,,
70560,奔驰GLS,(标配)可开启全景天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,(选配),,,
65978,奔驰G级,(标配)电动天窗,前(标配) / 后(标配),(标配)全车,(标配),"(标配)前排,(标配)后排",,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,(标配),,,
65977,奔驰G级,(标配)电动天窗,前(标配) / 后(标配),(标配)全车,(标配),(标配)全车,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,(标配),,,
66721,奔驰G级,(标配)电动天窗,前(标配) / 后(标配),(标配)全车,(标配),(标配)全车,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,(标配),,,
66524,奔驰G级,(标配)电动天窗,前(标配) / 后(标配),(标配)全车,(标配),(标配)全车,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,(标配),,,
67435,奔驰G级,(标配)电动天窗,前(标配) / 后(标配),(标配)全车,(标配),(标配)全车,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,(标配),,,
67805,奔驰V级,(选配)分段式电动天窗,前(标配) / 后-,(标配)前排,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,(标配),(标配),,
69449,奔驰V级,(标配)分段式电动天窗,前(标配) / 后-,(标配)前排,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,(标配),(标配),,
67807,奔驰V级,(标配)分段式电动天窗,前(标配) / 后-,(标配)前排,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,(标配),(标配),,
67806,奔驰V级,(标配)分段式电动天窗,前(标配) / 后-,(标配)前排,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,(标配),(标配),,
68065,奔驰G级AMG,(标配)电动天窗,前(标配) / 后(标配),(标配)全车,(标配),"(标配)前排,(标配)后排",,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,(标配),,,
67436,奔驰G级AMG,(标配)电动天窗,前(标配) / 后(标配),(标配)全车,(标配),"(标配)前排,(标配)后排",,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,(标配),,,
63735,奔驰G级AMG,(标配)电动天窗,前(标配) / 后(标配),(标配)全车,(标配),"(标配)前排,(标配)后排",,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,(标配),,,
72405,奔驰GLA,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,,,,
72406,奔驰GLA,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,,,,
69235,奔驰GLA,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,(标配),,,
72407,奔驰GLA,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,,,,
69237,奔驰GLA,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,,,,
69236,奔驰GLA,(标配)分段式电动天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,(标配),,,
67809,威霆,,前(标配) / 后-,(标配)前排,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,,(标配),,
67810,威霆,,前(标配) / 后-,(标配)前排,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,,(标配),,
67808,威霆,,前(标配) / 后-,(标配)前排,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,,(标配),,
67813,威霆,,前(标配) / 后-,(标配)前排,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,,(标配),,
67811,威霆,,前(标配) / 后-,(标配)前排,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,,(标配),,
67812,威霆,,前(标配) / 后-,(标配)前排,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,,(标配),,
70926,迈巴赫GLS,(标配)可开启全景天窗,前(标配) / 后(标配),(标配)全车,(标配),"(标配)前排,(标配)后排",,(标配)电动,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,(标配),(标配),,
66811,迈巴赫GLS,(标配)可开启全景天窗,前(标配) / 后(标配),(标配)全车,(标配),"(标配)前排,(标配)后排",,(标配)电动,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,(标配),(标配),,
70927,迈巴赫GLS,(标配)可开启全景天窗,前(标配) / 后(标配),(标配)全车,(标配),"(标配)前排,(标配)后排",,(标配)电动,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,(标配),(标配),,
62314,迈巴赫GLS,(标配)可开启全景天窗,前(标配) / 后(标配),(标配)全车,(标配),(标配)全车,,(标配)电动,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,(标配),(标配),,
63209,迈巴赫GLS,(标配)可开启全景天窗,前(标配) / 后(标配),(标配)全车,(标配),(标配)全车,,(标配)电动,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,(标配),(标配),,
70925,迈巴赫GLS,(标配)可开启全景天窗,前(标配) / 后(标配),(标配)全车,(标配),(标配)全车,,(标配)电动,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,(标配),(标配),,
69085,奔驰CLA(进口),(标配)可开启全景天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾位,(标配)副驾驶,(选配)主驾驶+照明灯,(选配)副驾驶+照明灯",,(标配)雨量感应式,,,,
68971,奔驰CLA(进口),(标配)可开启全景天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,(标配),,,
72341,奔驰CLA(进口),(标配)可开启全景天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,(标配),,,
69086,奔驰CLA(进口),(标配)可开启全景天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,,,,
72342,奔驰CLA(进口),(标配)可开启全景天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾位,(标配)副驾驶,(选配)主驾驶+照明灯,(选配)副驾驶+照明灯",,(标配)雨量感应式,,,,
72343,奔驰CLA(进口),(标配)可开启全景天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",(标配),(标配)雨量感应式,(标配),,,
69088,奔驰CLA(进口),(标配)可开启全景天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,(标配),,,
69084,奔驰CLA(进口),(标配)可开启全景天窗,前(标配) / 后(标配),(标配)全车,(标配),,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,(标配),,,
71445,奔驰CLE,(标配)可开启全景天窗,前(标配) / 后-,(标配)全车,(标配),(标配)前排,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,(选配),(选配),,
71443,奔驰CLE,,前(标配) / 后-,(标配)全车,(标配),(标配)前排,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,(选配),,
65901,奔驰CLE,(标配)可开启全景天窗,前(标配) / 后-,(标配)全车,(标配),(标配)前排,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,(选配),(选配),,
71442,奔驰CLE,(标配)可开启全景天窗,前(标配) / 后-,(标配)全车,(标配),(标配)前排,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,(标配),(选配),,
67283,奔驰CLE,,前(标配) / 后-,(标配)全车,(标配),(标配)前排,,,"(标配)主驾驶+照明灯,(标配)副驾驶+照明灯",,(标配)雨量感应式,,(选配),,
