CAR_ID,品牌系列,方向盘材质,方向盘位置调节,换挡形式,多功能方向盘,方向盘换挡,方向盘加热,方向盘记忆,行车电脑显示屏幕,全液晶仪表盘,液晶仪表尺寸,HUD抬头数字显示,内后视镜功能,ETC装置,AR-HUD增强现实抬头显示,HUD抬头尺寸,仪表盘屏幕材质,仪表盘屏幕分辨率（px）
69628,奔驰C级,(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)12.3英寸,(选配),"(标配)手动防眩目,(选配)自动防眩目",(选配),,,,
71924,奔驰C级,(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)12.3英寸,(选配),"(标配)手动防眩目,(选配)自动防眩目",(选配),,,,
71973,奔驰C级,(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)12.3英寸,(选配),(标配)自动防眩目,(选配),,,,
72315,奔驰GLE,(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(选配),,(标配)彩色,(标配),(标配)12.3英寸,,(标配)自动防眩目,(选配),,,,
70263,奔驰GLE,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(选配),(标配),(标配)彩色,(标配),(标配)12.3英寸,(选配),(标配)自动防眩目,(选配),,,,
70262,奔驰GLE,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(选配),(标配),(标配)彩色,(标配),(标配)12.3英寸,(选配),(标配)自动防眩目,(选配),,,,
72316,奔驰GLE,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(选配),(标配),(标配)彩色,(标配),(标配)12.3英寸,(标配),(标配)自动防眩目,(选配),,,,
72313,奔驰GLE,(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(选配),,(标配)彩色,(标配),(标配)12.3英寸,,(标配)自动防眩目,(选配),,,,
70264,奔驰GLE,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(选配),(标配),(标配)彩色,(标配),(标配)12.3英寸,(选配),(标配)自动防眩目,(选配),,,,
72314,奔驰GLE,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(选配),(标配),(标配)彩色,(标配),(标配)12.3英寸,(选配),(标配)自动防眩目,(选配),,,,
70265,奔驰GLE,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(选配),(标配),(标配)彩色,(标配),(标配)12.3英寸,(标配),(标配)自动防眩目,(选配),,,,
71821,奔驰S级,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)12.3英寸,(选配),(标配)自动防眩目,(选配),,,,
71819,奔驰S级,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,(标配),(标配)彩色,(标配),(标配)12.3英寸,(标配),(标配)自动防眩目,(选配),,,,
71820,奔驰S级,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,(标配),(标配)彩色,(标配),(标配)12.3英寸,(标配),(标配)自动防眩目,(选配),,,,
71818,奔驰S级,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,(标配),(标配)彩色,(标配),(标配)12.3英寸,,(标配)自动防眩目,(选配),(标配),,,
67448,奔驰S级,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)12.3英寸,(选配),(标配)自动防眩目,(选配),,,,
67449,奔驰S级,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,(标配),(标配)彩色,(标配),(标配)12.3英寸,(标配),(标配)自动防眩目,(选配),,,,
67450,奔驰S级,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,(标配),(标配)彩色,(标配),(标配)12.3英寸,(标配),(标配)自动防眩目,(选配),,,,
67451,奔驰S级,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,(标配),(标配)彩色,(标配),(标配)12.3英寸,,(标配)自动防眩目,(选配),(标配),,,
70558,迈巴赫S级,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(选配),(标配),(标配)彩色,(标配),(标配)12.3英寸,(标配),(标配)自动防眩目,(选配),,,,
67444,迈巴赫S级,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(选配),(标配),(标配)彩色,(标配),(标配)12.3英寸,(标配),(标配)自动防眩目,(选配),,,,
70557,迈巴赫S级,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(选配),(标配),(标配)彩色,(标配),(标配)12.3英寸,,(标配)自动防眩目,(选配),(标配),,,
68040,迈巴赫S级,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(选配),(标配),(标配)彩色,(标配),(标配)12.3英寸,,(标配)自动防眩目,(选配),(标配),,,
72308,迈巴赫S级,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(选配),(标配),(标配)彩色,(标配),(标配)12.3英寸,,(标配)自动防眩目,(选配),(标配),,,
72306,迈巴赫S级,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(选配),(标配),(标配)彩色,(标配),(标配)12.3英寸,,(标配)自动防眩目,(选配),(标配),,,
68041,迈巴赫S级,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(选配),(标配),(标配)彩色,(标配),(标配)12.3英寸,,(标配)自动防眩目,(选配),(标配),,,
61337,迈巴赫S级,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(选配),(标配),(标配)彩色,(标配),(标配)12.3英寸,,(标配)自动防眩目,(选配),(标配),,,
67446,迈巴赫S级,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(选配),(标配),(标配)彩色,(标配),(标配)12.3英寸,(标配),(标配)自动防眩目,(选配),,,,
70555,迈巴赫S级,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(选配),(标配),(标配)彩色,(标配),(标配)12.3英寸,(标配),(标配)自动防眩目,(选配),,,,
72307,迈巴赫S级,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(选配),(标配),(标配)彩色,(标配),(标配)12.3英寸,(标配),(标配)自动防眩目,(选配),,,,
70556,迈巴赫S级,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(选配),(标配),(标配)彩色,(标配),(标配)12.3英寸,(标配),(标配)自动防眩目,(选配),,,,
54579,迈巴赫S级,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(选配),(标配),(标配)彩色,(标配),(标配)12.3英寸,(标配),(标配)自动防眩目,(选配),,,,
67445,迈巴赫S级,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(标配),(标配),(标配)彩色,(标配),(标配)12.3英寸,(标配),(标配)自动防眩目,(选配),,,,
72305,迈巴赫S级,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(标配),(标配),(标配)彩色,(标配),(标配)12.3英寸,(标配),(标配)自动防眩目,(选配),,,,
72410,奔驰GLB,(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)10.25英寸,,(标配)手动防眩目,(选配),,,,
72409,奔驰GLB,(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)10.25英寸,,(标配)手动防眩目,(选配),,,,
68210,奔驰GLB,(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)10.25英寸,,(标配)手动防眩目,(选配),,,,
68208,奔驰GLB,(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)10.25英寸,,(标配)手动防眩目,(选配),,,,
68209,奔驰GLB,(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)10.25英寸,(选配),(标配)手动防眩目,(选配),,,,
68970,奔驰GLB,(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)10.25英寸,,(标配)手动防眩目,(选配),,,,
72408,奔驰GLB,(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)10.25英寸,,(标配)手动防眩目,(选配),,,,
68207,奔驰GLB,(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)10.25英寸,,(标配)手动防眩目,(选配),,,,
68206,奔驰GLB,(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)10.25英寸,,(标配)手动防眩目,(选配),,,,
68996,奔驰GLB,(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)10.25英寸,(选配),(标配)手动防眩目,(选配),,,,
69208,奔驰A级,(标配)皮质,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)10.25英寸,,(标配)手动防眩目,(选配),,,,
69239,奔驰A级,(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)10.25英寸,,(标配)手动防眩目,(选配),,,,
65886,奔驰GLS,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,(标配),(标配)彩色,(标配),(标配)12.3英寸,,(标配)自动防眩目,(选配),,,,
65918,奔驰GLS,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(选配),(标配),(标配)彩色,(标配),(标配)12.3英寸,(选配),(标配)自动防眩目,(选配),,,,
70560,奔驰GLS,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(标配),(标配),(标配)彩色,(标配),(标配)12.3英寸,(标配),(标配)自动防眩目,(选配),,,,
65978,奔驰G级,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(选配),(标配),(标配)彩色,(标配),(标配)12.3英寸,,(标配)自动防眩目,(选配),,,,
65977,奔驰G级,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(选配),(标配),(标配)彩色,(标配),(标配)12.3英寸,,(标配)自动防眩目,(选配),,,,
66721,奔驰G级,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(选配),(标配),(标配)彩色,(标配),(标配)12.3英寸,,(标配)自动防眩目,(选配),,,,
66524,奔驰G级,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(标配),(标配),(标配)彩色,(标配),(标配)12.3英寸,,(标配)自动防眩目,,,,,
67435,奔驰G级,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(选配),(标配),(标配)彩色,(标配),(标配)12.3英寸,,(标配)自动防眩目,(选配),,,,
67805,奔驰V级,(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)12.3英寸,,(标配)自动防眩目,(选配),,,,
69449,奔驰V级,(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)12.3英寸,,(标配)自动防眩目,(选配),,,,
67807,奔驰V级,(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(标配),,(标配)彩色,(标配),(标配)12.3英寸,,"(标配)自动防眩目,(标配)流媒体后视镜",(选配),,,,
67806,奔驰V级,(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(标配),,(标配)彩色,(标配),(标配)12.3英寸,,"(标配)自动防眩目,(标配)流媒体后视镜",(选配),,,,
68065,奔驰G级AMG,"(标配)真皮,(选配)Alcantara/翻毛皮,(选配)碳纤维/翻毛皮",(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(选配),(标配),(标配)彩色,(标配),(标配)12.3英寸,,(标配)自动防眩目,(选配),,,,
67436,奔驰G级AMG,"(标配)真皮,(选配)Alcantara/翻毛皮,(选配)碳纤维/翻毛皮",(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(选配),(标配),(标配)彩色,(标配),(标配)12.3英寸,,(标配)自动防眩目,(选配),,,,
63735,奔驰G级AMG,"(标配)真皮,(选配)Alcantara/翻毛皮,(选配)碳纤维/翻毛皮",(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(选配),(标配),(标配)彩色,(标配),(标配)12.3英寸,,(标配)自动防眩目,(选配),,,,
72405,奔驰GLA,(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)10.25英寸,,(标配)手动防眩目,(选配),,,,
72406,奔驰GLA,(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)10.25英寸,,(标配)手动防眩目,(选配),,,,
69235,奔驰GLA,(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)10.25英寸,(选配),(标配)手动防眩目,(选配),,,,
72407,奔驰GLA,(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)10.25英寸,,(标配)手动防眩目,(选配),,,,
69237,奔驰GLA,(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)10.25英寸,,(标配)手动防眩目,(选配),,,,
69236,奔驰GLA,(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)10.25英寸,(选配),(标配)手动防眩目,(选配),,,,
67809,威霆,(标配)塑料,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,,(标配)5.5英寸,,(标配)手动防眩目,(选配),,,,
67810,威霆,(标配)塑料,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,,(标配)5.5英寸,,(标配)手动防眩目,(选配),,,,
67808,威霆,(标配)塑料,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,,(标配)5.5英寸,,(标配)手动防眩目,(选配),,,,
67813,威霆,(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,,(标配)5.5英寸,,(标配)手动防眩目,(选配),,,,
67811,威霆,(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,,(标配)5.5英寸,,(标配)手动防眩目,(选配),,,,
67812,威霆,(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,,(标配)5.5英寸,,(标配)手动防眩目,(选配),,,,
70926,迈巴赫GLS,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(标配),(标配),(标配)彩色,(标配),(标配)12.3英寸,(标配),(标配)自动防眩目,(选配),,,,
66811,迈巴赫GLS,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(标配),(标配),(标配)彩色,(标配),(标配)12.3英寸,(标配),(标配)自动防眩目,(选配),,,,
70927,迈巴赫GLS,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(标配),(标配),(标配)彩色,(标配),(标配)12.3英寸,(标配),(标配)自动防眩目,(选配),,,,
62314,迈巴赫GLS,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(标配),(标配),(标配)彩色,(标配),(标配)12.3英寸,(标配),(标配)自动防眩目,(选配),,,,
63209,迈巴赫GLS,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(标配),(标配),(标配)彩色,(标配),(标配)12.3英寸,(标配),(标配)自动防眩目,(选配),,,,
70925,迈巴赫GLS,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(标配),(标配),(标配)彩色,(标配),(标配)12.3英寸,(标配),(标配)自动防眩目,(选配),,,,
69085,奔驰CLA(进口),(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)10.25英寸,,(标配)自动防眩目,(选配),,,,
68971,奔驰CLA(进口),(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)10.25英寸,,(标配)自动防眩目,(选配),,,,
72341,奔驰CLA(进口),(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)10.25英寸,(选配),(标配)自动防眩目,(选配),,,,
69086,奔驰CLA(进口),(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)10.25英寸,,(标配)自动防眩目,(选配),,,,
72342,奔驰CLA(进口),(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)10.25英寸,,(标配)自动防眩目,(选配),,,,
72343,奔驰CLA(进口),(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)10.25英寸,(选配),(标配)自动防眩目,(选配),,,,
69088,奔驰CLA(进口),(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)10.25英寸,(选配),(标配)自动防眩目,(选配),,,,
69084,奔驰CLA(进口),(标配)真皮,(标配)手动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),,,(标配)彩色,(标配),(标配)10.25英寸,,(标配)自动防眩目,(选配),,,,
71445,奔驰CLE,(标配)真皮,(标配)电动上下+前后调节,(标配)电子式怀挡换挡,(标配),(标配),(选配),(标配),(标配)彩色,(标配),(标配)12.3英寸,(选配),(标配)自动防眩目,(选配),,,,
