CAR_ID,品牌系列,驱动方式,四驱形式,中央差速器结构,前悬架类型,后悬架类型,助力类型,车体结构
67451,奔驰S级,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)双叉臂式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
70558,迈巴赫S级,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)双叉臂式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
67444,迈巴赫S级,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)双叉臂式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
70557,迈巴赫S级,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)双叉臂式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
68040,迈巴赫S级,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)双叉臂式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
72308,迈巴赫S级,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)双叉臂式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
72306,迈巴赫S级,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)双叉臂式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
68041,迈巴赫S级,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)双叉臂式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
61337,迈巴赫S级,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)双叉臂式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
67446,迈巴赫S级,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)双叉臂式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
70555,迈巴赫S级,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)双叉臂式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
72307,迈巴赫S级,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)双叉臂式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
70556,迈巴赫S级,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)双叉臂式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
54579,迈巴赫S级,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)双叉臂式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
67445,迈巴赫S级,(标配)前置四驱,(标配)全时四驱,(标配)待查,(标配)双叉臂式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
72305,迈巴赫S级,(标配)前置四驱,(标配)全时四驱,(标配)待查,(标配)双叉臂式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
72410,奔驰GLB,(标配)前置前驱,,,(标配)麦弗逊式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
72409,奔驰GLB,(标配)前置前驱,,,(标配)麦弗逊式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
68210,奔驰GLB,(标配)前置前驱,,,(标配)麦弗逊式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
68208,奔驰GLB,(标配)前置前驱,,,(标配)麦弗逊式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
68209,奔驰GLB,(标配)前置四驱,(标配)适时四驱,(标配)多片离合器,(标配)麦弗逊式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
68970,奔驰GLB,(标配)前置前驱,,,(标配)麦弗逊式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
72408,奔驰GLB,(标配)前置前驱,,,(标配)麦弗逊式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
68207,奔驰GLB,(标配)前置前驱,,,(标配)麦弗逊式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
68206,奔驰GLB,(标配)前置前驱,,,(标配)麦弗逊式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
68996,奔驰GLB,(标配)前置四驱,(标配)适时四驱,(标配)多片离合器,(标配)麦弗逊式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
69208,奔驰A级,(标配)前置前驱,,,(标配)麦弗逊式独立悬架,(标配)扭力梁式非独立悬架,(标配)电动助力,承载式
69239,奔驰A级,(标配)前置前驱,,,(标配)麦弗逊式独立悬架,(标配)扭力梁式非独立悬架,(标配)电动助力,承载式
65886,奔驰GLS,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)双叉臂式独立悬架,(标配)双叉臂式独立悬架,(标配)电动助力,承载式
65918,奔驰GLS,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)双叉臂式独立悬架,(标配)双叉臂式独立悬架,(标配)电动助力,承载式
70560,奔驰GLS,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)双叉臂式独立悬架,(标配)双叉臂式独立悬架,(标配)电动助力,承载式
65978,奔驰G级,(标配)前置四驱,(标配)全时四驱,(标配)开放式差速器,(标配)双叉臂式独立悬架,(标配)整体桥非独立悬架,(标配)电动助力,非承载式
65977,奔驰G级,(标配)前置四驱,(标配)全时四驱,(标配)开放式差速器,(标配)双叉臂式独立悬架,(标配)整体桥非独立悬架,(标配)电动助力,非承载式
66721,奔驰G级,(标配)前置四驱,(标配)全时四驱,(标配)开放式差速器,(标配)双叉臂式独立悬架,(标配)整体桥非独立悬架,(标配)电动助力,非承载式
66524,奔驰G级,(标配)前置四驱,(标配)全时四驱,(标配)开放式差速器,(标配)双叉臂式独立悬架,(标配)整体桥非独立悬架,(标配)电动助力,非承载式
67435,奔驰G级,(标配)前置四驱,(标配)全时四驱,(标配)开放式差速器,(标配)双叉臂式独立悬架,(标配)整体桥非独立悬架,(标配)电动助力,非承载式
67805,奔驰V级,(标配)前置后驱,,,(标配)麦弗逊式独立悬架,(标配)半拖曳臂式独立悬架,(标配)电动助力,承载式
69449,奔驰V级,(标配)前置后驱,,,(标配)麦弗逊式独立悬架,(标配)半拖曳臂式独立悬架,(标配)电动助力,承载式
67807,奔驰V级,(标配)前置后驱,,,(标配)麦弗逊式独立悬架,(标配)半拖曳臂式独立悬架,(标配)电动助力,承载式
67806,奔驰V级,(标配)前置后驱,,,(标配)麦弗逊式独立悬架,(标配)半拖曳臂式独立悬架,(标配)电动助力,承载式
68065,奔驰G级AMG,(标配)前置四驱,(标配)全时四驱,(标配)开放式差速器,(标配)双叉臂式独立悬架,(标配)整体桥非独立悬架,(标配)电动助力,非承载式
67436,奔驰G级AMG,(标配)前置四驱,(标配)全时四驱,(标配)开放式差速器,(标配)双叉臂式独立悬架,(标配)整体桥非独立悬架,(标配)电动助力,非承载式
63735,奔驰G级AMG,(标配)前置四驱,(标配)全时四驱,(标配)开放式差速器,(标配)双叉臂式独立悬架,(标配)整体桥非独立悬架,(标配)电动助力,非承载式
72405,奔驰GLA,(标配)前置前驱,,,(标配)麦弗逊式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
72406,奔驰GLA,(标配)前置前驱,,,(标配)麦弗逊式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
69235,奔驰GLA,(标配)前置四驱,(标配)适时四驱,(标配)多片离合器,(标配)麦弗逊式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
72407,奔驰GLA,(标配)前置前驱,,,(标配)麦弗逊式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
69237,奔驰GLA,(标配)前置前驱,,,(标配)麦弗逊式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
69236,奔驰GLA,(标配)前置四驱,(标配)适时四驱,(标配)多片离合器,(标配)麦弗逊式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
67809,威霆,(标配)前置后驱,,,(标配)麦弗逊式独立悬架,(标配)半拖曳臂式独立悬架,(标配)电动助力,承载式
67810,威霆,(标配)前置后驱,,,(标配)麦弗逊式独立悬架,(标配)半拖曳臂式独立悬架,(标配)电动助力,承载式
67808,威霆,(标配)前置后驱,,,(标配)麦弗逊式独立悬架,(标配)半拖曳臂式独立悬架,(标配)电动助力,承载式
67813,威霆,(标配)前置后驱,,,(标配)麦弗逊式独立悬架,(标配)半拖曳臂式独立悬架,(标配)电动助力,承载式
67811,威霆,(标配)前置后驱,,,(标配)麦弗逊式独立悬架,(标配)半拖曳臂式独立悬架,(标配)电动助力,承载式
67812,威霆,(标配)前置后驱,,,(标配)麦弗逊式独立悬架,(标配)半拖曳臂式独立悬架,(标配)电动助力,承载式
70926,迈巴赫GLS,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)双叉臂式独立悬架,(标配)双叉臂式独立悬架,(标配)电动助力,承载式
66811,迈巴赫GLS,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)双叉臂式独立悬架,(标配)双叉臂式独立悬架,(标配)电动助力,承载式
70927,迈巴赫GLS,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)双叉臂式独立悬架,(标配)双叉臂式独立悬架,(标配)电动助力,承载式
62314,迈巴赫GLS,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)双叉臂式独立悬架,(标配)双叉臂式独立悬架,(标配)电动助力,承载式
63209,迈巴赫GLS,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)双叉臂式独立悬架,(标配)双叉臂式独立悬架,(标配)电动助力,承载式
70925,迈巴赫GLS,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)双叉臂式独立悬架,(标配)双叉臂式独立悬架,(标配)电动助力,承载式
69085,奔驰CLA(进口),(标配)前置前驱,,,(标配)麦弗逊式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
68971,奔驰CLA(进口),(标配)前置前驱,,,(标配)麦弗逊式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
72341,奔驰CLA(进口),(标配)前置四驱,(标配)适时四驱,(标配)多片离合器,(标配)麦弗逊式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
69086,奔驰CLA(进口),(标配)前置前驱,,,(标配)麦弗逊式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
72342,奔驰CLA(进口),(标配)前置前驱,,,(标配)麦弗逊式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
72343,奔驰CLA(进口),(标配)前置四驱,(标配)适时四驱,(标配)多片离合器,(标配)麦弗逊式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
69088,奔驰CLA(进口),(标配)前置四驱,(标配)适时四驱,(标配)多片离合器,(标配)麦弗逊式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
69084,奔驰CLA(进口),(标配)前置前驱,,,(标配)麦弗逊式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
71445,奔驰CLE,(标配)前置后驱,,,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
71443,奔驰CLE,(标配)前置后驱,,,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
65901,奔驰CLE,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
71442,奔驰CLE,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
67283,奔驰CLE,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
67439,奔驰CLE,(标配)前置后驱,,,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
71444,奔驰CLE,(标配)前置后驱,,,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
71441,奔驰CLE,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
69011,奔驰CLE,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
69012,奔驰CLE,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
60867,AMG GT,(标配)前置四驱,(标配)全时四驱,(标配)待查,(标配)双叉臂式独立悬架,(标配)双叉臂式独立悬架,(标配)电子液压助力,承载式
67636,AMG GT,(标配)前置后驱,,,(标配)双叉臂式独立悬架,(标配)双叉臂式独立悬架,(标配)电子液压助力,承载式
60868,AMG GT,(标配)前置四驱,(标配)全时四驱,(标配)待查,(标配)双叉臂式独立悬架,(标配)双叉臂式独立悬架,(标配)电子液压助力,承载式
63122,奔驰E级(进口),(标配)前置后驱,,,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
70201,奔驰E级(进口),(标配)前置后驱,,,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
63123,奔驰E级(进口),(标配)前置后驱,,,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
70202,奔驰E级(进口),(标配)前置后驱,,,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
59860,奔驰E级(进口),(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
70203,奔驰E级(进口),(标配)前置后驱,,,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
63124,奔驰E级(进口),(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
63125,奔驰E级(进口),(标配)前置后驱,,,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
63004,奔驰CLS,(标配)前置后驱,,,(标配)四连杆独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
63005,奔驰CLS,(标配)前置后驱,,,(标配)四连杆独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
63006,奔驰CLS,(标配)前置后驱,,,(标配)四连杆独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
61395,奔驰GLE AMG,(标配)前置四驱,(标配)适时四驱,(标配)多片离合器,(标配)双叉臂式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
70923,奔驰GLE AMG,(标配)前置四驱,(标配)适时四驱,(标配)多片离合器,(标配)双叉臂式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
70213,奔驰GLC轿跑,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
70214,奔驰GLC轿跑,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
66516,奔驰C级AMG,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
66517,奔驰C级AMG,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
70273,奔驰GLE新能源,(标配)前置四驱,(标配)适时四驱,(标配)多片离合器,(标配)双叉臂式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
71115,奔驰A级AMG,(标配)前置四驱,(标配)适时四驱,(标配)多片离合器,(标配)麦弗逊式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
71170,奔驰CLE AMG,(标配)前置四驱,(标配)全时四驱,,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
65910,奔驰GLB AMG,(标配)前置四驱,(标配)适时四驱,(标配)多片离合器,(标配)麦弗逊式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
71116,奔驰A级AMG(进口),(标配)前置四驱,(标配)适时四驱,(标配)多片离合器,(标配)麦弗逊式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
68606,奔驰A级AMG(进口),(标配)前置四驱,(标配)适时四驱,(标配)多片离合器,(标配)麦弗逊式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
66533,奔驰A级AMG(进口),(标配)前置四驱,(标配)适时四驱,(标配)多片离合器,(标配)麦弗逊式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
68559,奔驰E级新能源,(标配)前置后驱,,,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
65775,奔驰E级新能源,(标配)前置后驱,,,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
70754,奔驰EQE,(标配)双电机四驱,(标配)电动四驱,,(标配)双叉臂式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
70753,奔驰EQE,(标配)双电机四驱,(标配)电动四驱,,(标配)双叉臂式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
69750,奔驰EQE,(标配)双电机四驱,(标配)电动四驱,,(标配)双叉臂式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
69333,奔驰EQB,(标配)前置前驱,,,(标配)麦弗逊式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
69332,奔驰EQB,(标配)双电机四驱,(标配)电动四驱,,(标配)麦弗逊式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
71114,奔驰CLA AMG,(标配)前置四驱,(标配)适时四驱,(标配)多片离合器,(标配)麦弗逊式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
68688,奔驰CLA AMG,(标配)前置四驱,(标配)适时四驱,(标配)多片离合器,(标配)麦弗逊式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
69334,奔驰EQA,(标配)前置前驱,,,(标配)麦弗逊式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
63847,奔驰GLC AMG,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)多连杆式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
62313,奔驰GLS AMG,(标配)前置四驱,(标配)全时四驱,(标配)多片离合器,(标配)双叉臂式独立悬架,(标配)双叉臂式独立悬架,(标配)电动助力,承载式
70838,奔驰GLE轿跑,(标配)前置四驱,(标配)适时四驱,(标配)多片离合器,(标配)双叉臂式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
70837,奔驰GLE轿跑,(标配)前置四驱,(标配)适时四驱,(标配)多片离合器,(标配)双叉臂式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
70836,奔驰GLE轿跑,(标配)前置四驱,(标配)适时四驱,(标配)多片离合器,(标配)双叉臂式独立悬架,(标配)多连杆式独立悬架,(标配)电动助力,承载式
