CAR_ID,品牌系列,发动机型号,排量_mL,排量_L,进气形式,发动机布局,气缸排列形式,气缸数_个,每缸气门数_个,配气机构,最大马力_Ps,最大功率_kW,最大功率转速_rpm,最大扭矩_N_m,最大扭矩转速_rpm,最大净功率_kW,能源类型,燃油标号,供油方式,缸盖材料,缸体材料,环保标准,最低燃油标号,压缩比,缸径_mm,行程_mm,发动机特有技术
70263,奔驰GLE,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,258,190,5800,400,2000-3200,190,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
70262,奔驰GLE,256 925,2498,2.5,涡轮增压+电动增压,纵置,L,6,4,DOHC,367,270,6000,500,2000-4000,270,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
72316,奔驰GLE,256 925,2498,2.5,涡轮增压+电动增压,纵置,L,6,4,DOHC,367,270,6000,500,2000-4000,270,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
72313,奔驰GLE,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,258,190,5800,400,2000-3200,190,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
70264,奔驰GLE,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,258,190,5800,400,2000-3200,190,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
72314,奔驰GLE,256 925,2498,2.5,涡轮增压+电动增压,纵置,L,6,4,DOHC,367,270,6000,500,2000-4000,270,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
70265,奔驰GLE,256 925,2498,2.5,涡轮增压+电动增压,纵置,L,6,4,DOHC,367,270,6000,500,2000-4000,270,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
71821,奔驰S级,无,2498,2.5,涡轮增压+电动增压,纵置,L,6,4,DOHC,313,230,5500,450,1800-4000,230,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
71819,奔驰S级,无,2498,2.5,涡轮增压+电动增压,纵置,L,6,4,DOHC,313,230,5500,450,1800-4000,230,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
71820,奔驰S级,无,2498,2.5,涡轮增压+电动增压,纵置,L,6,4,DOHC,367,270,6000,500,2000-4000,270,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
71818,奔驰S级,无,2999,3.0,涡轮增压+电动增压,纵置,L,6,4,DOHC,448,330,6000,520,2200-5000,330,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
67448,奔驰S级,无,2498,2.5,涡轮增压+电动增压,纵置,L,6,4,DOHC,313,230,6100,450,1600-3000,230,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
67449,奔驰S级,无,2498,2.5,涡轮增压+电动增压,纵置,L,6,4,DOHC,313,230,6100,450,1600-3000,230,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
67450,奔驰S级,无,2499,2.5,涡轮增压+电动增压,纵置,L,6,4,DOHC,367,270,6100,500,1600-3000,270,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
67451,奔驰S级,无,2999,3.0,涡轮增压+电动增压,纵置,L,6,4,DOHC,449,330,6000,560,2200-5000,330,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
70558,迈巴赫S级,256 930,2999,3.0,双涡轮增压,纵置,L,6,4,DOHC,380,280,6000,500,1800-5000,280,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
67444,迈巴赫S级,256 930,2999,3.0,双涡轮增压,纵置,L,6,4,DOHC,380,280,6000,500,1800-5000,280,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
70557,迈巴赫S级,176 980,3982,4.0,双涡轮增压,纵置,V,8,4,DOHC,503,370,5500,700,2000-4500,370,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
68040,迈巴赫S级,176 980,3982,4.0,双涡轮增压,纵置,V,8,4,DOHC,503,370,5500,700,2000-4500,370,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
72308,迈巴赫S级,279 980,5980,6.0,双涡轮增压,纵置,V,12,3,SOHC,612,450,5250,900,2000-4000,450,汽油,95号,多点电喷,铝合金,铝合金,国VI,无,无,无,无,无
72306,迈巴赫S级,279 980,5980,6.0,双涡轮增压,纵置,V,12,3,SOHC,612,450,5250,900,2000-4000,450,汽油,95号,多点电喷,铝合金,铝合金,国VI,无,无,无,无,无
68041,迈巴赫S级,279 980,5980,6.0,双涡轮增压,纵置,V,12,3,SOHC,612,450,5250-5500,900,2000-4000,450,汽油,95号,多点电喷,铝合金,铝合金,国VI,无,无,无,无,无
61337,迈巴赫S级,279 980,5980,6.0,双涡轮增压,纵置,V,12,3,SOHC,612,450,5250-5500,900,2000-4000,450,汽油,95号,多点电喷,铝合金,铝合金,国VI,无,无,无,无,无
67446,迈巴赫S级,256 930,2999,3.0,双涡轮增压,纵置,L,6,4,DOHC,380,280,6000,500,1800-5000,280,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
70555,迈巴赫S级,176 980,3982,4.0,双涡轮增压,纵置,V,8,4,DOHC,503,370,5500,700,2000-4500,370,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
72307,迈巴赫S级,176 980,3982,4.0,双涡轮增压,纵置,V,8,4,DOHC,503,370,5500,700,2000-4500,370,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
70556,迈巴赫S级,279 980,5980,6.0,双涡轮增压,纵置,V,12,3,SOHC,612,450,5250-5500,900,2000-4000,450,汽油,95号,多点电喷,铝合金,铝合金,国VI,无,无,无,无,无
54579,迈巴赫S级,279 980,5980,6.0,双涡轮增压,纵置,V,12,3,SOHC,612,450,5250-5500,900,2000-4000,450,汽油,95号,多点电喷,铝合金,铝合金,国VI,无,无,无,无,无
67445,迈巴赫S级,279 980,5980,6.0,双涡轮增压,纵置,V,12,3,SOHC,612,450,5500,900,2000-4500,450,汽油,95号,多点电喷,铝合金,铝合金,国VI,无,无,无,无,无
72305,迈巴赫S级,279 980,5980,6.0,双涡轮增压,纵置,V,12,3,SOHC,612,450,5500,900,2000-4500,450,汽油,95号,多点电喷,铝合金,铝合金,国VI,无,无,无,无,无
72410,奔驰GLB,282 814,1332,1.3,涡轮增压,横置,L,4,4,DOHC,163,120,5500,270,2000-3500,120,汽油,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
72409,奔驰GLB,282 814,1332,1.3,涡轮增压,横置,L,4,4,DOHC,163,120,5500,270,2000-3500,120,汽油,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
68210,奔驰GLB,260 920,1991,2.0,涡轮增压,横置,L,4,4,DOHC,190,140,6100,300,1800-4000,140,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
68208,奔驰GLB,260 920,1991,2.0,涡轮增压,横置,L,4,4,DOHC,190,140,6100,300,1800-4000,140,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
68209,奔驰GLB,260 920,1991,2.0,涡轮增压,横置,L,4,4,DOHC,190,140,6100,300,1800-4000,140,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
68970,奔驰GLB,282 814,1332,1.3,涡轮增压,横置,L,4,4,DOHC,163,120,5500,270,2000-3500,120,汽油,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
72408,奔驰GLB,282 814,1332,1.3,涡轮增压,横置,L,4,4,DOHC,163,120,5500,270,2000-3500,120,汽油,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
68207,奔驰GLB,260 920,1991,2.0,涡轮增压,横置,L,4,4,DOHC,190,140,6100,300,1800-4000,140,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
68206,奔驰GLB,260 920,1991,2.0,涡轮增压,横置,L,4,4,DOHC,190,140,6100,300,1800-4000,140,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
68996,奔驰GLB,260 920,1991,2.0,涡轮增压,横置,L,4,4,DOHC,190,140,6100,300,1800-4000,140,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
69208,奔驰A级,282 814,1332,1.3,涡轮增压,横置,L,4,4,DOHC,136,100,5500,230,1660-3000,100,汽油,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
69239,奔驰A级,282 814,1332,1.3,涡轮增压,横置,L,4,4,DOHC,163,120,5500,270,2000-3500,120,汽油,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
65886,奔驰GLS,256 830,2999,3.0,涡轮增压+电动增压,纵置,L,6,4,DOHC,380,280,6000,500,1800-5000,280,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
65918,奔驰GLS,256 830,2999,3.0,涡轮增压+电动增压,纵置,L,6,4,DOHC,380,280,6000,500,1800-5000,280,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
70560,奔驰GLS,256 830,2999,3.0,涡轮增压+电动增压,纵置,L,6,4,DOHC,380,280,6000,500,1800-5000,280,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
65978,奔驰G级,256 830,2999,3.0,双涡轮增压,纵置,L,6,4,DOHC,449,330,6000,560,2200-6000,无,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
65977,奔驰G级,264 920,1991,2.0,涡轮增压,纵置,L,4,4,DOHC,258,190,5800-6100,370,1800-4000,190,汽油,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
66721,奔驰G级,176 980,3982,4.0,双涡轮增压,纵置,V,8,4,DOHC,421,310,5250-5500,610,2000-4750,310,汽油,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
66524,奔驰G级,176 980,3982,4.0,双涡轮增压,纵置,V,8,4,DOHC,421,310,5250-5500,610,2000-4750,310,汽油,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
67435,奔驰G级,176 980,3982,4.0,双涡轮增压,纵置,V,8,4,DOHC,421,310,5250-5500,610,2000-4750,310,汽油,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
67805,奔驰V级,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,231,170,5500,370,2000-4000,170,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
69449,奔驰V级,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,231,170,5500,370,2000-4000,170,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
67807,奔驰V级,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,231,170,5500,370,2000-4000,170,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
67806,奔驰V级,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,231,170,5500,370,2000-4000,170,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
68065,奔驰G级AMG,177 880,3982,4.0,双涡轮增压,纵置,V,8,4,DOHC,585,430,6000,850,2500-6000,430,汽油+48V轻混系统,98号,直喷,铝合金,铝合金,国VI,95号,无,无,无,无
67436,奔驰G级AMG,177 980,3982,4.0,双涡轮增压,纵置,V,8,4,DOHC,585,430,6000,850,2500-3500,430,汽油,98号,直喷,铝合金,铝合金,国VI,95号,无,无,无,无
63735,奔驰G级AMG,177 980,3982,4.0,双涡轮增压,纵置,V,8,4,DOHC,585,430,6000,850,2500-3500,430,汽油,98号,直喷,铝合金,铝合金,国VI,95号,无,无,无,无
72405,奔驰GLA,282 814,1332,1.3,涡轮增压,横置,L,4,4,DOHC,163,120,5500,270,2000-3500,120,汽油,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
72406,奔驰GLA,260 920,1991,2.0,涡轮增压,横置,L,4,4,DOHC,190,140,6100,300,1800-4000,140,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
69235,奔驰GLA,260 920,1991,2.0,涡轮增压,横置,L,4,4,DOHC,190,140,6100,300,1800-4000,140,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
72407,奔驰GLA,282 814,1332,1.3,涡轮增压,横置,L,4,4,DOHC,163,120,5500,270,2000-3500,120,汽油,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
69237,奔驰GLA,260 920,1991,2.0,涡轮增压,横置,L,4,4,DOHC,190,140,6100,300,1800-4000,140,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
69236,奔驰GLA,260 920,1991,2.0,涡轮增压,横置,L,4,4,DOHC,190,140,6100,300,1800-4000,140,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
67809,威霆,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,231,170,5500,370,2000-4000,170,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
67810,威霆,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,231,170,5500,370,2000-4000,170,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
67808,威霆,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,231,170,5500,370,2000-4000,170,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
67813,威霆,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,231,170,5500,370,2000-4000,170,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
67811,威霆,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,231,170,5500,370,2000-4000,170,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
67812,威霆,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,231,170,5500,370,2000-4000,170,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
70926,迈巴赫GLS,256 930,2999,3.0,涡轮增压,纵置,L,6,4,DOHC,381,280,6000,500,1800-5000,280,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
66811,迈巴赫GLS,177 980,3982,4.0,涡轮增压,纵置,V,8,4,DOHC,558,410,6500,770,2500-5000,410,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
70927,迈巴赫GLS,177 980,3982,4.0,涡轮增压,纵置,V,8,4,DOHC,558,410,6500,770,2500-5000,410,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
62314,迈巴赫GLS,256 930,2999,3.0,涡轮增压,纵置,L,6,4,DOHC,381,280,6000,500,1800-5000,280,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
63209,迈巴赫GLS,177 980,3982,4.0,涡轮增压,纵置,V,8,4,DOHC,558,410,6500,770,2500-5000,410,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
70925,迈巴赫GLS,177 980,3982,4.0,涡轮增压,纵置,V,8,4,DOHC,558,410,6500,770,2500-5000,410,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
69085,奔驰CLA(进口),282 814,1332,1.3,涡轮增压,横置,L,4,4,DOHC,163,120,5500,270,2000-3500,120,汽油,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
68971,奔驰CLA(进口),260 920,1991,2.0,涡轮增压,横置,L,4,4,DOHC,190,140,6100,300,1800-4000,140,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
72341,奔驰CLA(进口),260 920,1991,2.0,涡轮增压,横置,L,4,4,DOHC,224,165,6100,350,2000-4000,165,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
69086,奔驰CLA(进口),282 914,1332,1.3,涡轮增压,横置,L,4,4,DOHC,163,120,5500,270,2000-3500,120,汽油,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
72342,奔驰CLA(进口),282 814,1332,1.3,涡轮增压,横置,L,4,4,DOHC,163,120,5500,270,2000-3500,120,汽油,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
72343,奔驰CLA(进口),260 920,1991,2.0,涡轮增压,横置,L,4,4,DOHC,224,165,6100,350,2000-4000,165,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
69088,奔驰CLA(进口),260 920,1991,2.0,涡轮增压,横置,L,4,4,DOHC,224,165,5500,350,2000-4000,165,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
69084,奔驰CLA(进口),260 920,1991,2.0,涡轮增压,横置,L,4,4,DOHC,190,140,6100,300,1800-4000,140,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
71445,奔驰CLE,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,204,150,5800,320,1600-4000,150,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
71443,奔驰CLE,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,204,150,5800,320,1600-4000,150,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
65901,奔驰CLE,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,258,190,5800,400,2000-3200,190,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
71442,奔驰CLE,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,258,190,5800,400,2000-3200,190,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
67283,奔驰CLE,254 920,1999,2.0,涡轮增压,纵置,L,4,4,DOHC,258,190,5800,400,2000-3200,190,汽油+48V轻混系统,95号,直喷,铝合金,铝合金,国VI,无,无,无,无,无
