CAR_ID,品牌系列,长度_mm,宽度_mm,高度_mm,轴距_mm,前轮距_mm,后轮距_mm,接近角__,离去角__,车身结构,车门开启方式,车门数_个,座位数_个,油箱容积_L,后备厢容积_L,风阻系数_Cd,最小离地间隙_mm,最大涉水深度_mm,最小转弯半径_m,满载最小离地间隙_mm,纵向通过角__,最大爬坡度__,最大载重质量_kg,后排车门开启方式,前备厢容积_L,最大爬坡角度__,空载最小离地间隙_mm,氢瓶容积_L
69626,奔驰C级,4882,1820,1461,2954,1589,1563,15,18,三厢车,平开门,(标配)4,(标配)5,66,455,无,无,无,无,无,无,无,无,无,无,无,无,无
71923,奔驰C级,4882,1820,1461,2954,1589,1563,15,18,三厢车,平开门,(标配)4,(标配)5,66,455,无,无,无,无,无,无,无,无,无,无,无,无,无
69596,奔驰C级,4882,1820,1461,2954,1589,1563,15,18,三厢车,平开门,(标配)4,(标配)5,66,455,无,无,无,无,无,无,无,无,无,无,无,无,无
69625,奔驰C级,4882,1820,1461,2954,1589,1563,15,18,三厢车,平开门,(标配)4,(标配)5,66,455,无,无,无,无,无,无,无,无,无,无,无,无,无
69627,奔驰C级,4882,1820,1461,2954,1589,1563,15,18,三厢车,平开门,(标配)4,(标配)5,66,455,无,无,无,无,无,无,无,无,无,无,无,无,无
69628,奔驰C级,4882,1820,1461,2954,1589,1563,15,18,三厢车,平开门,(标配)4,(标配)5,66,455,无,无,无,无,无,无,无,无,无,无,无,无,无
71924,奔驰C级,4882,1820,1461,2954,1589,1563,15,18,三厢车,平开门,(标配)4,(标配)5,66,455,无,无,无,无,无,无,无,无,无,无,无,无,无
71973,奔驰C级,4882,1820,1461,2954,1589,1563,15,18,三厢车,平开门,(标配)4,(标配)5,66,455,无,无,无,无,无,无,无,无,无,无,无,无,无
72315,奔驰GLE,4927,2018,1797,2995,1679,1728,21.3,24.4,SUV,平开门,(标配)5,(标配)5,85,825-2055,无,无,无,无,无,无,无,无,无,无,无,无,无
70263,奔驰GLE,4927,2018,1797,2995,1679,1728,21.3,24.4,SUV,平开门,(标配)5,(标配)5,85,825-2055,无,无,无,无,无,无,无,无,无,无,无,无,无
70262,奔驰GLE,4927,2018,1782,2995,1679,1728,25,27.3,SUV,平开门,(标配)5,"(标配)5,(选配)7",85,825-2055,无,无,无,无,无,无,无,无,无,无,无,无,无
72316,奔驰GLE,4927,2018,1797,2995,1679,1728,21.3,24.4,SUV,平开门,(标配)5,"(标配)5,(选配)7",85,825-2055,无,无,无,无,无,无,无,无,无,无,无,无,无
72313,奔驰GLE,4927,2018,1797,2995,1679,1728,21.3,24.4,SUV,平开门,(标配)5,(标配)5,85,825-2055,无,无,无,无,无,无,无,无,无,无,无,无,无
70264,奔驰GLE,4927,2018,1797,2995,1679,1728,21.3,24.4,SUV,平开门,(标配)5,(标配)5,85,825-2055,无,无,无,无,无,无,无,无,无,无,无,无,无
72314,奔驰GLE,4927,2018,1782,2995,1679,1728,25,27.3,SUV,平开门,(标配)5,"(标配)5,(选配)7",85,825-2055,无,无,无,无,无,无,无,无,无,无,无,无,无
70265,奔驰GLE,4927,2018,1797,2995,1679,1728,21.3,24.4,SUV,平开门,(标配)5,"(标配)5,(选配)7",85,825-2055,无,无,无,无,无,无,无,无,无,无,无,无,无
71821,奔驰S级,5290,1921,1503,3216,1655,1651,14.7,15.9,三厢车,平开门,(标配)4,(标配)5,76,535,0.22,无,无,无,无,无,无,无,无,无,无,无,无
71819,奔驰S级,5290,1921,1503,3216,1655,1651,14.7,15.9,三厢车,平开门,(标配)4,(标配)5,76,535,0.22,无,无,无,无,无,无,无,无,无,无,无,无
71820,奔驰S级,5320,1921,1503,3216,1655,1651,13.6,15.6,三厢车,平开门,(标配)4,(标配)5,76,500,0.22,无,无,无,无,无,无,无,无,无,无,无,无
71818,奔驰S级,5320,1921,1503,3216,1655,1651,13.6,15.6,三厢车,平开门,(标配)4,(标配)5,76,500,0.22,无,无,无,无,无,无,无,无,无,无,无,无
67448,奔驰S级,5290,1921,1503,3216,1655,1651,14.7,15.9,三厢车,平开门,(标配)4,(标配)5,76,535,0.22,无,无,无,无,无,无,无,无,无,无,无,无
67449,奔驰S级,5290,1921,1503,3216,1655,1651,14.7,15.9,三厢车,平开门,(标配)4,(标配)5,76,535,0.22,无,无,无,无,无,无,无,无,无,无,无,无
67450,奔驰S级,5320,1921,1503,3216,1655,1651,13.6,15.6,三厢车,平开门,(标配)4,(标配)5,76,500,0.22,无,无,无,无,无,无,无,无,无,无,无,无
67451,奔驰S级,5320,1921,1503,3216,1655,1651,13.6,15.6,三厢车,平开门,(标配)4,(标配)5,76,500,0.22,无,无,无,无,无,无,无,无,无,无,无,无
70558,迈巴赫S级,5470,1921,1510,3396,1655,1683,14.7,15.4,三厢车,平开门,(标配)4,(标配)5,76,无,无,无,无,无,无,无,无,无,无,无,无,无,无
67444,迈巴赫S级,5470,1921,1510,3396,1655,1683,14.7,15.4,三厢车,平开门,(标配)4,(标配)5,76,无,无,无,无,无,无,无,无,无,无,无,无,无,无
70557,迈巴赫S级,5470,1921,1510,3396,1655,1683,14.7,15.4,三厢车,平开门,(标配)4,(标配)4,76,无,无,无,无,无,无,无,无,无,无,无,无,无,无
68040,迈巴赫S级,5470,1921,1510,3396,1655,1683,14.7,15.4,三厢车,平开门,(标配)4,(标配)4,76,无,无,无,无,无,无,无,无,无,无,无,无,无,无
72308,迈巴赫S级,5470,1921,1510,3396,1655,1683,14.7,15.4,三厢车,平开门,(标配)4,(标配)4,76,无,无,无,无,无,无,无,无,无,无,无,无,无,无
72306,迈巴赫S级,5470,1921,1510,3396,1655,1683,14.7,15.4,三厢车,平开门,(标配)4,(标配)4,76,495,无,无,无,无,无,无,无,无,无,无,无,无,无
68041,迈巴赫S级,5470,1921,1510,3396,1655,1683,14.7,15.4,三厢车,平开门,(标配)4,(标配)4,76,无,无,无,无,无,无,无,无,无,无,无,无,无,无
61337,迈巴赫S级,5470,1921,1510,3396,1655,1683,14.7,15.4,三厢车,平开门,(标配)4,(标配)4,76,495,无,无,无,无,无,无,无,无,无,无,无,无,无
67446,迈巴赫S级,5470,1921,1510,3396,1655,1683,14.7,15.4,三厢车,平开门,(标配)4,(标配)5,76,无,无,无,无,无,无,无,无,无,无,无,无,无,无
70555,迈巴赫S级,5470,1921,1510,3396,1655,1683,14.7,15.4,三厢车,平开门,(标配)4,(标配)4,76,无,无,无,无,无,无,无,无,无,无,无,无,无,无
72307,迈巴赫S级,5470,1921,1510,3396,1655,1683,14.7,15.4,三厢车,平开门,(标配)4,(标配)4,76,505,无,无,无,无,无,无,无,无,无,无,无,无,无
70556,迈巴赫S级,5470,1921,1510,3396,1655,1683,14.7,15.4,三厢车,平开门,(标配)4,(标配)4,76,无,无,无,无,无,无,无,无,无,无,无,无,无,无
54579,迈巴赫S级,5470,1921,1510,3396,1655,1683,14.7,15.4,三厢车,平开门,(标配)4,(标配)4,76,495,无,无,无,无,无,无,无,无,无,无,无,无,无
67445,迈巴赫S级,5470,1921,1510,3396,1655,1683,14.7,15.4,三厢车,平开门,(标配)4,(标配)4,76,无,无,无,无,无,无,无,无,无,无,无,无,无,无
72305,迈巴赫S级,5470,1921,1510,3396,1655,1683,14.7,15.4,三厢车,平开门,(标配)4,(标配)4,76,无,无,无,无,无,无,无,无,无,无,无,无,无,无
72410,奔驰GLB,4638,1834,1696,2829,1590,1589,19,24,SUV,平开门,(标配)5,(标配)5,52,703-1430,无,无,无,无,无,无,无,无,无,无,无,无,无
72409,奔驰GLB,4638,1834,1701,2829,1590,1589,19,24,SUV,平开门,(标配)5,(标配)7,52,703-1430,无,无,无,无,无,无,无,无,无,无,无,无,无
68210,奔驰GLB,4638,1834,1696,2829,1590,1592,19,24,SUV,平开门,(标配)5,(标配)5,52,703-1430,无,无,无,无,无,无,无,无,无,无,无,无,无
68208,奔驰GLB,4638,1834,1706,2829,1589,1589,20,25,SUV,平开门,(标配)5,(标配)7,52,703-1430,无,无,无,无,无,无,无,无,无,无,无,无,无
68209,奔驰GLB,4638,1834,1706,2829,1589,1589,20,25,SUV,平开门,(标配)5,(标配)7,60,703-1430,无,无,无,无,无,无,无,无,无,无,无,无,无
68970,奔驰GLB,4638,1834,1687,2829,1590,1589,19,24,SUV,平开门,(标配)5,(标配)5,52,703-1430,无,无,无,无,无,无,无,无,无,无,无,无,无
72408,奔驰GLB,4638,1834,1692,2829,1590,1589,19,24,SUV,平开门,(标配)5,(标配)7,52,703-1430,无,无,无,无,无,无,无,无,无,无,无,无,无
68207,奔驰GLB,4638,1834,1696,2829,1590,1592,19,24,SUV,平开门,(标配)5,(标配)5,52,703-1430,无,无,无,无,无,无,无,无,无,无,无,无,无
68206,奔驰GLB,4638,1834,1706,2829,1589,1589,20,25,SUV,平开门,(标配)5,(标配)7,52,703-1430,无,无,无,无,无,无,无,无,无,无,无,无,无
68996,奔驰GLB,4638,1834,1706,2829,1589,1589,20,25,SUV,平开门,(标配)5,(标配)7,60,703-1430,无,无,无,无,无,无,无,无,无,无,无,无,无
69208,奔驰A级,4630,1796,1459,2789,1569,1558,14,22,三厢车,平开门,(标配)4,(标配)5,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
69239,奔驰A级,4630,1796,1459,2789,1569,1558,14,22,三厢车,平开门,(标配)4,(标配)5,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
65886,奔驰GLS,5210,2030,1823,3135,无,无,25.2,23.7,SUV,平开门,(标配)5,(标配)7,90,无,无,无,无,无,无,无,无,无,无,无,无,无,无
65918,奔驰GLS,5210,2030,1823,3135,无,无,25.2,23.7,SUV,平开门,(标配)5,(标配)7,90,无,无,无,无,无,无,无,无,无,无,无,无,无,无
70560,奔驰GLS,5210,2030,1838,3135,无,无,25.6,24,SUV,平开门,(标配)5,(标配)7,90,无,无,无,无,无,无,无,无,无,无,无,无,无,无
65978,奔驰G级,4875,1931,1978,2890,无,无,31.1,30.3,SUV,平开门,(标配)5,(标配)5,100,无,无,247,700,无,无,无,无,无,无,无,无,无,无
65977,奔驰G级,4877,1931,1975,2890,无,无,31.8,30.3,SUV,平开门,(标配)5,(标配)5,100,无,无,无,无,无,无,无,无,无,无,无,无,无,无
66721,奔驰G级,4877,1931,1975,2890,无,无,30.7,29.2,SUV,平开门,(标配)5,(标配)5,100,无,无,无,无,无,无,无,无,无,无,无,无,无,无
66524,奔驰G级,4877,1931,1975,2890,无,无,30.7,29.2,SUV,平开门,(标配)5,(标配)5,100,无,无,无,无,无,无,无,无,无,无,无,无,无,无
67435,奔驰G级,4877,1931,1975,2890,无,无,30.7,29.2,SUV,平开门,(标配)5,(标配)5,100,无,无,无,无,无,无,无,无,无,无,无,无,无,无
67805,奔驰V级,5140,1928,1880,3200,1666,1646,16,12,MPV,平开门+侧滑门,(标配)5,(标配)7,70,无,无,无,无,无,无,无,无,无,无,无,无,无,无
69449,奔驰V级,5140,1928,1920,3200,1666,1646,16,12,MPV,平开门+侧滑门,(标配)5,(标配)7,70,无,无,无,无,无,无,无,无,无,无,无,无,无,无
67807,奔驰V级,5370,1928,1920,3430,1666,1646,16,12,MPV,平开门+侧滑门,(标配)5,(标配)7,70,无,无,无,无,无,无,无,无,无,无,无,无,无,无
67806,奔驰V级,5370,1928,1920,3430,1666,1646,16,12,MPV,平开门+侧滑门,(标配)5,(标配)7,70,无,无,无,无,无,无,无,无,无,无,无,无,无,无
68065,奔驰G级AMG,4871,1984,1984,2890,1650,1654,27.8,30.6,SUV,平开门,(标配)5,(标配)5,100,640,无,无,无,无,无,无,无,无,无,无,无,无,无
67436,奔驰G级AMG,4870,1984,1979,2890,1651,1652,27.8,30.6,SUV,平开门,(标配)5,(标配)5,100,无,无,无,无,无,无,无,无,无,无,无,无,无,无
63735,奔驰G级AMG,4870,1984,1979,2890,1651,1652,27.8,30.6,SUV,平开门,(标配)5,(标配)5,100,无,无,无,无,无,无,无,无,无,无,无,无,无,无
72405,奔驰GLA,4427,1834,1610,2729,1590,1592,19,29,SUV,平开门,(标配)5,(标配)5,51,435-1420,无,无,无,无,无,无,无,无,无,无,无,无,无
72406,奔驰GLA,4427,1834,1610,2729,1590,1592,19,29,SUV,平开门,(标配)5,(标配)5,51,435-1420,无,无,无,无,无,无,无,无,无,无,无,无,无
69235,奔驰GLA,4446,1849,1625,2729,1590,1592,17,26,SUV,平开门,(标配)5,(标配)5,51,435-1420,无,无,无,无,无,无,无,无,无,无,无,无,无
72407,奔驰GLA,4427,1834,1620,2729,1590,1592,19,29,SUV,平开门,(标配)5,(标配)5,51,435-1420,无,无,无,无,无,无,无,无,无,无,无,无,无
69237,奔驰GLA,4427,1834,1610,2729,1590,1592,19,29,SUV,平开门,(标配)5,(标配)5,51,435-1420,无,无,无,无,无,无,无,无,无,无,无,无,无
69236,奔驰GLA,4446,1849,1625,2729,1590,1592,17,26,SUV,平开门,(标配)5,(标配)5,51,435-1420,无,无,无,无,无,无,无,无,无,无,无,无,无
67809,威霆,5370,1928,1880,3430,1666,1646,16,12,MPV,平开门+侧滑门,(标配)4,(标配)7,70,无,无,无,无,无,无,无,无,无,无,无,无,无,无
67810,威霆,5370,1928,1880,3430,1666,1646,16,12,MPV,平开门+侧滑门,(标配)4,(标配)8,70,无,无,无,无,无,无,无,无,无,无,无,无,无,无
67808,威霆,5370,1928,1880,3430,1666,1646,16,12,MPV,平开门+侧滑门,(标配)4,(标配)9,70,无,无,无,无,无,无,无,无,无,无,无,无,无,无
67813,威霆,5370,1928,1880,3430,1666,1646,16,12,MPV,平开门+侧滑门,(标配)5,(标配)7,70,无,无,无,无,无,无,无,无,无,无,无,无,无,无
67811,威霆,5370,1928,1880,3430,1666,1646,16,12,MPV,平开门+侧滑门,(标配)5,(标配)8,70,无,无,无,无,无,无,无,无,无,无,无,无,无,无
67812,威霆,5370,1928,1880,3430,1666,1646,16,12,MPV,平开门+侧滑门,(标配)5,(标配)9,70,无,无,无,无,无,无,无,无,无,无,无,无,无,无
70926,迈巴赫GLS,5208,2030,1838,3135,无,无,27.8,24.3,SUV,平开门,(标配)5,"(标配)5,(选配)4",90,无,无,无,无,无,无,无,无,无,无,无,无,无,无
66811,迈巴赫GLS,5208,2030,1838,3135,无,无,27.8,24.3,SUV,平开门,(标配)5,(标配)4,90,无,无,无,无,无,无,无,无,无,无,无,无,无,无
70927,迈巴赫GLS,5208,2030,1838,3135,无,无,27.8,24.3,SUV,平开门,(标配)5,(标配)4,90,无,无,无,无,无,无,无,无,无,无,无,无,无,无
62314,迈巴赫GLS,5208,2030,1838,3135,无,无,27.8,24.3,SUV,平开门,(标配)5,"(标配)5,(选配)4",90,无,无,无,无,无,无,无,无,无,无,无,无,无,无
63209,迈巴赫GLS,5208,2030,1838,3135,无,无,27.8,24.3,SUV,平开门,(标配)5,(标配)4,90,无,无,无,无,无,无,无,无,无,无,无,无,无,无
70925,迈巴赫GLS,5208,2030,1838,3135,无,无,27.8,24.3,SUV,平开门,(标配)5,(标配)4,90,无,无,无,无,无,无,无,无,无,无,无,无,无,无
69085,奔驰CLA(进口),4692,1830,1431,2729,无,无,12.6,18.9,三厢车,平开门,(标配)4,(标配)5,51,470,无,无,无,无,无,无,无,无,无,无,无,无,无
68971,奔驰CLA(进口),4692,1830,1431,2729,无,无,12.6,18.9,三厢车,平开门,(标配)4,(标配)5,51,470,无,无,无,无,无,无,无,无,无,无,无,无,无
72341,奔驰CLA(进口),4692,1830,1431,2729,无,无,12.6,18.9,三厢车,平开门,(标配)4,(标配)5,51,470,无,无,无,无,无,无,无,无,无,无,无,无,无
69086,奔驰CLA(进口),4692,1830,1435,2729,无,无,12.1,18.9,旅行车,平开门,(标配)5,(标配)5,51,505-1370,无,无,无,无,无,无,无,无,无,无,无,无,无
72342,奔驰CLA(进口),4692,1830,1431,2729,无,无,12.6,18.9,三厢车,平开门,(标配)4,(标配)5,51,470,无,无,无,无,无,无,无,无,无,无,无,无,无
72343,奔驰CLA(进口),4692,1830,1435,2729,无,无,12.1,18.9,旅行车,平开门,(标配)5,(标配)5,51,505-1370,无,无,无,无,无,无,无,无,无,无,无,无,无
69088,奔驰CLA(进口),4692,1830,1431,2729,无,无,12.6,18.9,三厢车,平开门,(标配)4,(标配)5,51,470,无,无,无,无,无,无,无,无,无,无,无,无,无
69084,奔驰CLA(进口),4692,1830,1431,2729,无,无,12.6,18.9,三厢车,平开门,(标配)4,(标配)5,51,470,无,无,无,无,无,无,无,无,无,无,无,无,无
71445,奔驰CLE,4850,1861,1416,2865,1605,1616,13.5,17.2,硬顶跑车,平开门,(标配)2,(标配)4,66,420,无,无,无,无,无,无,无,无,无,无,无,无,无
71443,奔驰CLE,4850,1861,1425,2865,1605,1616,13.5,17.2,软顶敞篷车,平开门,(标配)2,(标配)4,66,无,无,无,无,无,无,无,无,无,无,无,无,无,无
65901,奔驰CLE,4850,1861,1425,2865,1605,1616,14,15.3,硬顶跑车,平开门,(标配)2,(标配)4,66,420,无,无,无,无,无,无,无,无,无,无,无,无,无
71442,奔驰CLE,4850,1861,1425,2865,1605,1616,14,15.3,硬顶跑车,平开门,(标配)2,(标配)4,66,420,无,无,无,无,无,无,无,无,无,无,无,无,无
67283,奔驰CLE,4850,1861,1425,2865,1605,1616,14,15.3,软顶敞篷车,平开门,(标配)2,(标配)4,66,无,无,无,无,无,无,无,无,无,无,无,无,无,无
67439,奔驰CLE,4850,1861,1416,2865,无,无,13.5,17.2,硬顶跑车,平开门,(标配)2,(标配)4,66,420,无,无,无,无,无,无,无,无,无,无,无,无,无
71444,奔驰CLE,4850,1861,1425,2865,无,无,13.5,17.2,软顶敞篷车,平开门,(标配)2,(标配)4,66,无,无,无,无,无,无,无,无,无,无,无,无,无,无
71441,奔驰CLE,4850,1861,1425,2865,无,无,14,15.3,硬顶跑车,平开门,(标配)2,(标配)4,66,420,无,无,无,无,无,无,无,无,无,无,无,无,无
69011,奔驰CLE,4850,1861,1425,2865,无,无,14,15.3,硬顶跑车,平开门,(标配)2,(标配)4,66,420,无,无,无,无,无,无,无,无,无,无,无,无,无
69012,奔驰CLE,4850,1861,1425,2865,无,无,14,15.3,软顶敞篷车,平开门,(标配)2,(标配)4,66,无,无,无,无,无,无,无,无,无,无,无,无,无,无
60867,AMG GT,5054,1953,1460,2951,无,无,12.2,14.8,掀背车,平开门,(标配)5,(标配)4,80,无,无,无,无,无,无,无,无,无,无,无,无,无,无
67636,AMG GT,5054,1953,1455,2951,无,无,11.7,14.6,掀背车,平开门,(标配)5,(标配)4,80,无,无,无,无,无,无,无,无,无,无,无,无,无,无
60868,AMG GT,5054,1953,1460,2951,无,无,12.2,14.8,掀背车,平开门,(标配)5,(标配)4,80,无,无,无,无,无,无,无,无,无,无,无,无,无,无
63122,奔驰E级(进口),4953,1880,1479,2961,无,无,15,16.6,三厢车,平开门,(标配)4,(标配)5,66,无,无,无,无,无,无,无,无,无,无,无,无,无,无
70201,奔驰E级(进口),4953,1880,1479,2961,无,无,15,16.6,三厢车,平开门,(标配)4,(标配)5,66,无,无,无,无,无,无,无,无,无,无,无,无,无,无
63123,奔驰E级(进口),4953,1880,1479,2961,无,无,15,16.6,三厢车,平开门,(标配)4,(标配)5,66,无,无,无,无,无,无,无,无,无,无,无,无,无,无
70202,奔驰E级(进口),4846,1860,1434,2873,无,无,13.6,16,硬顶跑车,平开门,(标配)2,(标配)4,66,无,无,无,无,无,无,无,无,无,无,无,无,无,无
59860,奔驰E级(进口),4846,1860,1448,2873,无,无,14.6,16.9,硬顶跑车,平开门,(标配)2,(标配)4,66,无,无,无,无,无,无,无,无,无,无,无,无,无,无
70203,奔驰E级(进口),4846,1860,1432,2873,无,无,13.6,16,软顶敞篷车,平开门,(标配)2,(标配)4,66,无,无,无,无,无,无,无,无,无,无,无,无,无,无
63124,奔驰E级(进口),4846,1860,1446,2873,无,无,14.6,16.9,软顶敞篷车,平开门,(标配)2,(标配)4,66,无,无,无,无,无,无,无,无,无,无,无,无,无,无
63125,奔驰E级(进口),4846,1860,1434,2873,无,无,13.6,16,硬顶跑车,平开门,(标配)2,(标配)4,66,无,无,无,无,无,无,无,无,无,无,无,无,无,无
63004,奔驰CLS,4996,1896,1432,2939,无,无,12.8,15.2,三厢车,平开门,(标配)4,(标配)5,66,490,无,无,无,无,无,无,无,无,无,无,无,无,无
63005,奔驰CLS,4996,1896,1432,2939,无,无,12.8,15.2,三厢车,平开门,(标配)4,(标配)5,66,490,无,无,无,无,无,无,无,无,无,无,无,无,无
63006,奔驰CLS,4996,1896,1432,2939,无,无,12.8,15.2,三厢车,平开门,(标配)4,(标配)5,66,490,无,无,无,无,无,无,无,无,无,无,无,无,无
61395,奔驰GLE AMG,4937,2015,1782,2995,无,无,24.2,22.8,SUV,平开门,(标配)5,(标配)5,85,无,无,无,无,无,无,无,无,无,无,无,无,无,无
70923,奔驰GLE AMG,4947,2015,1782,2995,无,无,24.2,22.8,SUV,平开门,(标配)5,(标配)5,85,无,无,无,无,无,无,无,无,无,无,无,无,无,无
70213,奔驰GLC轿跑,4769,1920,1603,2888,无,无,21,20.8,SUV跨界车,平开门,(标配)5,(标配)5,66,545,0.27,无,无,无,无,无,无,无,无,无,无,无,无
70214,奔驰GLC轿跑,4769,1920,1603,2888,无,无,21.1,20.9,SUV跨界车,平开门,(标配)5,(标配)5,66,545,0.27,无,无,无,无,无,无,无,无,无,无,无,无
66516,奔驰C级AMG,4787,1824,1450,2865,无,无,13.4,15.2,三厢车,平开门,(标配)4,(标配)5,66,无,无,无,无,无,无,无,无,无,无,无,无,无,无
