CAR_ID,品牌系列,座椅材质,主座椅调节方式,副座椅调节方式,主_副驾驶座电动调节,前排座椅功能,电动座椅记忆功能,副驾驶位后排可调节按钮,第二排座椅调节,第二排座椅电动调节,第二排座椅功能,后排座椅放倒形式,前_后中央扶手,后排杯架,运动风格座椅,座椅布局,后排座椅电动放倒,加热_制冷杯架,后排小桌板,第二排独立座椅,第三排座椅功能,头颈暖风系统,第三排座椅调节,第三排座椅电动调节,零重力座椅,福祉座椅,前后移动扶手箱,可升降前后排车厢隔断
72178,奔驰E级,(标配)仿皮,"(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)",主(标配) / 副(标配),"(标配)加热,(标配)通风",(标配)驾驶位,(标配),"(标配)靠背调节,(标配)腿托调节",(标配),"(标配)加热,(选配)通风",无,前(标配) / 后(标配),(标配),无,无,无,无,无,无,无,无,无,无,无,无,无,无
72174,奔驰E级,(标配)仿皮,"(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)",主(标配) / 副(标配),(选配)加热,无,(标配),无,无,无,无,前(标配) / 后(标配),(标配),无,无,无,无,无,无,无,无,无,无,无,无,无,无
69967,奔驰E级,(标配)仿皮,"(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)",主(标配) / 副(标配),(选配)加热,无,(标配),无,无,无,无,前(标配) / 后(标配),(标配),无,无,无,无,无,无,无,无,无,无,无,无,无,无
69965,奔驰E级,(标配)仿皮,"(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)",主(标配) / 副(标配),(选配)加热,无,(标配),无,无,无,无,前(标配) / 后(标配),(标配),无,无,无,无,无,无,无,无,无,无,无,无,无,无
69971,奔驰E级,(标配)仿皮,"(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)",主(标配) / 副(标配),"(标配)加热,(选配)通风",(标配)驾驶位,(标配),"(选配)靠背调节,(选配)腿托调节",(选配),"(选配)加热,(选配)通风",无,前(标配) / 后(标配),(标配),无,无,无,无,无,无,无,无,无,无,无,无,无,无
72181,奔驰E级,(标配)仿皮,"(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)",主(标配) / 副(标配),"(标配)加热,(选配)通风",(标配)驾驶位,(标配),"(选配)靠背调节,(选配)腿托调节",(选配),"(选配)加热,(选配)通风",无,前(标配) / 后(标配),(标配),无,无,无,无,无,无,无,无,无,无,无,无,无,无
69964,奔驰E级,(标配)仿皮,"(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)",主(标配) / 副(标配),"(标配)加热,(标配)通风",(标配)驾驶位,(标配),"(标配)靠背调节,(标配)腿托调节",(标配),"(选配)加热,(选配)通风",无,前(标配) / 后(标配),(标配),无,无,无,无,无,无,无,无,无,无,无,无,无,无
72180,奔驰E级,(标配)仿皮,"(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)",主(标配) / 副(标配),"(标配)加热,(标配)通风",(标配)驾驶位,(标配),"(标配)靠背调节,(标配)腿托调节",(标配),"(选配)加热,(选配)通风",无,前(标配) / 后(标配),(标配),无,无,无,无,无,无,无,无,无,无,无,无,无,无
72173,奔驰E级,(标配)仿皮,"(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)",主(标配) / 副(标配),"(标配)加热,(标配)通风",(标配)驾驶位,(标配),"(标配)靠背调节,(标配)腿托调节",(标配),"(标配)加热,(选配)通风",无,前(标配) / 后(标配),(标配),无,无,无,无,无,无,无,无,无,无,无,无,无,无
72182,奔驰E级,(标配)仿皮,"(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)",主(标配) / 副(标配),"(标配)加热,(标配)通风",(标配)驾驶位,(标配),"(标配)靠背调节,(标配)腿托调节",(标配),"(标配)加热,(选配)通风",无,前(标配) / 后(标配),(标配),无,无,无,无,无,无,无,无,无,无,无,无,无,无
70200,奔驰GLC,(标配)仿皮,"(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)",主(标配) / 副(标配),(选配)加热,无,(标配),"(选配)前后调节,(选配)靠背调节",无,无,(标配)比例放倒,前(标配) / 后(标配),(标配),(标配),(选配)2-3-2,无,无,无,无,无,无,无,无,无,无,无,无
70197,奔驰GLC,(标配)仿皮,"(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)",主(标配) / 副(标配),"(选配)加热,(选配)通风",(标配)驾驶位,(标配),"(选配)前后调节,(选配)靠背调节",无,无,(标配)比例放倒,前(标配) / 后(标配),(标配),(标配),(选配)2-3-2,无,无,无,无,无,无,无,无,无,无,无,无
72169,奔驰GLC,(标配)仿皮,"(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)",主(标配) / 副(标配),"(选配)加热,(选配)通风",(标配)驾驶位,(标配),无,无,无,(标配)比例放倒,前(标配) / 后(标配),(标配),(标配),无,无,无,无,无,无,无,无,无,无,无,无,无
72172,奔驰GLC,(标配)仿皮,"(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)",主(标配) / 副(标配),"(选配)加热,(选配)通风",(标配)驾驶位,(标配),"(标配)前后调节,(标配)靠背调节",无,无,(标配)比例放倒,前(标配) / 后(标配),(标配),(标配),(标配)2-3-2,无,无,无,无,无,无,无,无,无,无,无,无
70193,奔驰GLC,(标配)仿皮,"(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)",主(标配) / 副(标配),"(选配)加热,(选配)通风",(标配)驾驶位,(标配),无,无,无,(标配)比例放倒,前(标配) / 后(标配),(标配),(标配),无,无,无,无,无,无,无,无,无,无,无,无,无
70199,奔驰GLC,(标配)仿皮,"(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)",主(标配) / 副(标配),"(选配)加热,(选配)通风",(标配)驾驶位,(标配),"(标配)前后调节,(标配)靠背调节",无,无,(标配)比例放倒,前(标配) / 后(标配),(标配),(标配),(标配)2-3-2,无,无,无,无,无,无,无,无,无,无,无,无
70198,奔驰GLC,(标配)仿皮,"(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)",主(标配) / 副(标配),(选配)加热,无,(标配),"(选配)前后调节,(选配)靠背调节",无,无,(标配)比例放倒,前(标配) / 后(标配),(标配),(标配),(选配)2-3-2,无,无,无,无,无,无,无,无,无,无,无,无
72170,奔驰GLC,(标配)仿皮,"(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)",主(标配) / 副(标配),"(选配)加热,(选配)通风",(标配)驾驶位,(标配),"(选配)前后调节,(选配)靠背调节",无,无,(标配)比例放倒,前(标配) / 后(标配),(标配),(标配),(选配)2-3-2,无,无,无,无,无,无,无,无,无,无,无,无
72168,奔驰GLC,(标配)仿皮,"(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)",主(标配) / 副(标配),"(选配)加热,(选配)通风",(标配)驾驶位,(标配),无,无,无,(标配)比例放倒,前(标配) / 后(标配),(标配),(标配),无,无,无,无,无,无,无,无,无,无,无,无,无
72167,奔驰GLC,(标配)仿皮,"(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)",主(标配) / 副(标配),"(选配)加热,(选配)通风",(标配)驾驶位,(标配),"(标配)前后调节,(标配)靠背调节",无,无,(标配)比例放倒,前(标配) / 后(标配),(标配),(标配),(标配)2-3-2,无,无,无,无,无,无,无,无,无,无,无,无
72171,奔驰GLC,(标配)仿皮,"(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)",主(标配) / 副(标配),"(选配)加热,(选配)通风",(标配)驾驶位,(标配),无,无,无,(标配)比例放倒,前(标配) / 后(标配),(标配),(标配),无,无,无,无,无,无,无,无,无,无,无,无,无
70195,奔驰GLC,(标配)仿皮,"(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)",主(标配) / 副(标配),"(选配)加热,(选配)通风",(标配)驾驶位,(标配),"(标配)前后调节,(标配)靠背调节",无,无,(标配)比例放倒,前(标配) / 后(标配),(标配),(标配),(标配)2-3-2,无,无,无,无,无,无,无,无,无,无,无,无
71972,奔驰C级,(标配)仿皮,"(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)",主(标配) / 副(标配),(选配)加热,无,(标配),无,无,(选配)加热,无,前(标配) / 后(标配),(标配),(标配),无,无,无,无,无,无,无,无,无,无,无,无,无
71962,奔驰C级,"(选配)真皮,(标配)仿皮","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)",主(标配) / 副(标配),"(选配)加热,(选配)通风",(选配)驾驶位,(标配),无,无,(选配)加热,无,前(标配) / 后(标配),(标配),无,无,无,无,无,无,无,无,无,无,无,无,无,无
69626,奔驰C级,"(选配)真皮,(标配)仿皮","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)",主(标配) / 副(标配),"(选配)加热,(选配)通风",(选配)驾驶位,(标配),无,无,(选配)加热,无,前(标配) / 后(标配),(标配),(标配),无,无,无,无,无,无,无,无,无,无,无,无,无
71923,奔驰C级,"(选配)真皮,(标配)仿皮","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)",主(标配) / 副(标配),"(选配)加热,(选配)通风",(选配)驾驶位,(标配),无,无,(选配)加热,无,前(标配) / 后(标配),(标配),(标配),无,无,无,无,无,无,无,无,无,无,无,无,无
69596,奔驰C级,"(选配)真皮,(标配)仿皮","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)",主(标配) / 副(标配),"(选配)加热,(选配)通风",(选配)驾驶位,(标配),无,无,(选配)加热,无,前(标配) / 后(标配),(标配),(标配),无,无,无,无,无,无,无,无,无,无,无,无,无
69625,奔驰C级,(标配)仿皮,"(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)",主(标配) / 副(标配),(选配)加热,无,(标配),无,无,(选配)加热,无,前(标配) / 后(标配),(标配),(标配),无,无,无,无,无,无,无,无,无,无,无,无,无
69627,奔驰C级,"(选配)真皮,(标配)仿皮","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)",主(标配) / 副(标配),"(选配)加热,(选配)通风",(选配)驾驶位,(标配),无,无,(选配)加热,无,前(标配) / 后(标配),(标配),无,无,无,无,无,无,无,无,无,无,无,无,无,无
69628,奔驰C级,"(选配)真皮,(标配)仿皮","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)",主(标配) / 副(标配),"(选配)加热,(选配)通风",(选配)驾驶位,(标配),无,无,(选配)加热,无,前(标配) / 后(标配),(标配),(标配),无,无,无,无,无,无,无,无,无,无,无,无,无
71924,奔驰C级,"(选配)真皮,(标配)仿皮","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)",主(标配) / 副(标配),"(选配)加热,(选配)通风",(选配)驾驶位,(标配),无,无,(选配)加热,无,前(标配) / 后(标配),(标配),(标配),无,无,无,无,无,无,无,无,无,无,无,无,无
71973,奔驰C级,"(选配)真皮,(标配)仿皮","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)",主(标配) / 副(标配),"(选配)加热,(选配)通风",(选配)驾驶位,(标配),无,无,(选配)加热,无,前(标配) / 后(标配),(标配),(标配),无,无,无,无,无,无,无,无,无,无,无,无,无
72315,奔驰GLE,(标配)仿皮,"(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腰部支撑(4向)",主(标配) / 副(标配),"(标配)加热,(选配)通风",无,无,无,无,(选配)加热,(标配)比例放倒,前(标配) / 后(标配),(标配),无,无,无,无,无,无,无,无,无,无,无,无,无,无
70263,奔驰GLE,(标配)仿皮,"(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腰部支撑(4向)",主(标配) / 副(标配),"(标配)加热,(选配)通风","(标配)驾驶位,(标配)副驾驶位",(标配),"(标配)前后调节,(标配)靠背调节",(标配),(选配)加热,(标配)比例放倒,前(标配) / 后(标配),(标配),无,无,(标配),无,无,无,无,无,无,无,无,无,无,无
70262,奔驰GLE,"(选配)真皮,(标配)仿皮","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腰部支撑(4向)",主(标配) / 副(标配),"(标配)加热,(选配)通风","(标配)驾驶位,(标配)副驾驶位",(标配),"(标配)前后调节,(标配)靠背调节",(标配),(选配)加热,(标配)比例放倒,前(标配) / 后(标配),(标配),无,(选配)2-3-2,(标配),无,无,无,无,无,无,无,无,无,无,无
72316,奔驰GLE,"(选配)真皮,(标配)仿皮","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腰部支撑(4向)",主(标配) / 副(标配),"(标配)加热,(标配)通风","(标配)驾驶位,(标配)副驾驶位",(标配),"(标配)前后调节,(标配)靠背调节",(标配),(选配)加热,(标配)比例放倒,前(标配) / 后(标配),(标配),无,(选配)2-3-2,(标配),无,无,无,无,无,无,无,无,无,无,无
72313,奔驰GLE,(标配)仿皮,"(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腰部支撑(4向)",主(标配) / 副(标配),"(标配)加热,(选配)通风","(标配)驾驶位,(标配)副驾驶位",无,无,无,(选配)加热,(标配)比例放倒,前(标配) / 后(标配),(标配),无,无,无,无,无,无,无,无,无,无,无,无,无,无
70264,奔驰GLE,(标配)仿皮,"(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腰部支撑(4向)",主(标配) / 副(标配),"(标配)加热,(选配)通风","(标配)驾驶位,(标配)副驾驶位",(标配),"(标配)前后调节,(标配)靠背调节",(标配),(选配)加热,(标配)比例放倒,前(标配) / 后(标配),(标配),无,无,(标配),无,无,无,无,无,无,无,无,无,无,无
72314,奔驰GLE,"(选配)真皮,(标配)仿皮","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腰部支撑(4向)",主(标配) / 副(标配),"(标配)加热,(选配)通风","(标配)驾驶位,(标配)副驾驶位",(标配),"(标配)前后调节,(标配)靠背调节",(标配),(选配)加热,(标配)比例放倒,前(标配) / 后(标配),(标配),无,(选配)2-3-2,(标配),无,无,无,无,无,无,无,无,无,无,无
70265,奔驰GLE,"(选配)真皮,(标配)仿皮","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腰部支撑(4向)",主(标配) / 副(标配),"(标配)加热,(标配)通风,(选配)按摩","(标配)驾驶位,(标配)副驾驶位",(标配),"(标配)前后调节,(标配)靠背调节",(标配),(选配)加热,(标配)比例放倒,前(标配) / 后(标配),(标配),无,(选配)2-3-2,(标配),(选配)加热/制冷,无,无,无,无,无,无,无,无,无,无
71821,奔驰S级,(标配)真皮,"(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向)",主(标配) / 副(标配),"(标配)加热,(选配)通风",(选配)后排,无,"(选配)前后调节,(选配)靠背调节",(选配),"(标配)加热,(选配)通风",无,前(标配) / 后(标配),(标配),无,无,无,无,无,无,无,无,无,无,无,无,无,无
71819,奔驰S级,(标配)真皮,"(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)",主(标配) / 副(标配),"(标配)加热,(标配)通风","(标配)驾驶位,(标配)副驾驶位,(标配)后排",无,"(标配)前后调节,(标配)靠背调节",(标配),"(标配)加热,(标配)通风",无,前(标配) / 后(标配),(标配),无,无,无,无,无,无,无,无,无,无,无,无,无,无
71820,奔驰S级,(标配)真皮,"(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)",主(标配) / 副(标配),"(标配)加热,(标配)通风,(选配)按摩","(标配)驾驶位,(标配)副驾驶位,(标配)后排",(标配),"(标配)前后调节,(标配)靠背调节,(选配)腰部调节,(标配)腿托调节",(标配),"(标配)加热,(标配)通风,(选配)按摩",无,前(标配) / 后(标配),(标配),无,无,无,无,无,无,无,无,无,无,无,无,无,无
71818,奔驰S级,(标配)真皮,"(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)","(标配)前后调节,(标配)靠背调节,(标配)高低调节(4向),(标配)腿托调节,(标配)腰部支撑(4向)",主(标配) / 副(标配),"(标配)加热,(标配)通风,(选配)按摩","(标配)驾驶位,(标配)副驾驶位,(标配)后排",(标配),"(标配)前后调节,(标配)靠背调节,(标配)腰部调节,(标配)腿托调节",(标配),"(标配)加热,(标配)通风,(标配)按摩",无,前(标配) / 后(标配),(标配),无,无,无,无,(选配),(选配),无,无,无,无,无,无,无,无
