CAR_ID,品牌系列,车型名称,厂商指导价_元,厂商,级别,能源类型,环保标准,上市时间,最大功率_kW,最大扭矩_N_m,变速箱,车身结构,发动机,长_宽_高_mm,官方0_100km_h加速_s,最高车速_km_h,WLTC综合油耗_L_100km,整车质保,整备质量_kg,最大满载质量_kg,官方0_50km_h加速_s,WLTC纯电续航里程_km,电池快充时间_小时,电池慢充时间_小时,电池快充电量范围__,电池慢充电量范围__,电动机_Ps,最低荷电状态油耗_L_100kmWLTC,电能当量燃料消耗量_L_100km,CLTC纯电续航里程_km,最低荷电状态油耗_L_100km,油电综合燃料消耗量_L_100km,NEDC综合油耗_L_100km,NEDC纯电续航里程_km,实测0_100km_h加速_s,实测100_0km_h制动_m,实测油耗_L_100km,实测续航里程_km,最低荷电状态油耗_L_100kmNEDC,实测快充时间_小时,实测最低荷电状态油耗_L_100km,实测平均电耗_kWh_100km,实测电池快充电量范围__,准拖挂车总质量_kg,首任车主质保政策,最低荷电状态油耗_L_100kmCLTC,官方100_0km_h制动_m
72178,奔驰E级,奔驰E级 2025款 E 300 L 尊贵运动型,59.98万,北京奔驰,中大型车,汽油+48V轻混系统,国VI,2024.09,190,400,9挡手自一体,4门5座三厢车,2.0T 258马力 L4,5092*1880*1493,6.6,245,6.65,(标配)三年不限公里,1920,2520,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
72174,奔驰E级,奔驰E级 2025款 改款 E 260 L 运动型,45.18万,北京奔驰,中大型车,汽油+48V轻混系统,国VI,2025.03,150,320,9挡手自一体,4门5座三厢车,2.0T 204马力 L4,5092*1880*1493,7.7,233,6.15,(标配)三年不限公里,1890,2470,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
69967,奔驰E级,奔驰E级 2025款 改款 E 260 L 4MATIC,47.78万,北京奔驰,中大型车,汽油+48V轻混系统,国VI,2025.03,150,320,9挡手自一体,4门5座三厢车,2.0T 204马力 L4,5092*1880*1493,8,230,6.6,(标配)三年不限公里,1955,2540,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
69965,奔驰E级,奔驰E级 2025款 改款 E 260 L 4MATIC 运动型,47.78万,北京奔驰,中大型车,汽油+48V轻混系统,国VI,2025.03,150,320,9挡手自一体,4门5座三厢车,2.0T 204马力 L4,5092*1880*1493,8,230,6.6,(标配)三年不限公里,1955,2540,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
69971,奔驰E级,奔驰E级 2025款 改款 E 300 L 时尚型,49.98万,北京奔驰,中大型车,汽油+48V轻混系统,国VI,2025.03,190,400,9挡手自一体,4门5座三厢车,2.0T 258马力 L4,5092*1880*1493,6.6,245,6.55,(标配)三年不限公里,1930,2520,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
72181,奔驰E级,奔驰E级 2025款 改款 E 300 L 时尚运动型,49.98万,北京奔驰,中大型车,汽油+48V轻混系统,国VI,2025.03,190,400,9挡手自一体,4门5座三厢车,2.0T 258马力 L4,5092*1880*1493,6.6,245,6.55,(标配)三年不限公里,1930,2520,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
69964,奔驰E级,奔驰E级 2025款 改款 E 300 L 豪华型,52.98万,北京奔驰,中大型车,汽油+48V轻混系统,国VI,2025.03,190,400,9挡手自一体,4门5座三厢车,2.0T 258马力 L4,5092*1880*1493,6.6,245,6.55,(标配)三年不限公里,1930,2520,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
72180,奔驰E级,奔驰E级 2025款 改款 E 300 L 豪华运动型,52.98万,北京奔驰,中大型车,汽油+48V轻混系统,国VI,2025.03,190,400,9挡手自一体,4门5座三厢车,2.0T 258马力 L4,5092*1880*1493,6.6,245,6.55,(标配)三年不限公里,1930,2520,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
72173,奔驰E级,奔驰E级 2025款 改款 E 300 L 尊贵型,59.98万,北京奔驰,中大型车,汽油+48V轻混系统,国VI,2025.03,190,400,9挡手自一体,4门5座三厢车,2.0T 258马力 L4,5092*1880*1493,6.6,245,6.55,(标配)三年不限公里,1930,2520,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
72182,奔驰E级,奔驰E级 2025款 改款 E 300 L 尊贵运动型,59.98万,北京奔驰,中大型车,汽油+48V轻混系统,国VI,2025.03,190,400,9挡手自一体,4门5座三厢车,2.0T 258马力 L4,5092*1880*1493,6.6,245,6.55,(标配)三年不限公里,1930,2520,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
70200,奔驰GLC,奔驰GLC 2025款 GLC 260 L 4MATIC 动感型,42.78万,北京奔驰,中型SUV,汽油+48V轻混系统,国VI,2024.11,150,320,9挡手自一体,5门5座SUV,2.0T 204马力 L4,4826*1890*1714,8.2,212,7.4,(标配)三年不限公里,2000,2550,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
70197,奔驰GLC,奔驰GLC 2025款 GLC 260 L 4MATIC 豪华型,45.53万,北京奔驰,中型SUV,汽油+48V轻混系统,国VI,2024.11,150,320,9挡手自一体,5门5座SUV,2.0T 204马力 L4,4826*1890*1714,8.2,212,7.4,(标配)三年不限公里,2000,2550,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
72169,奔驰GLC,奔驰GLC 2025款 GLC 300 L 4MATIC 动感型 5座,47.93万,北京奔驰,中型SUV,汽油+48V轻混系统,国VI,2024.11,190,400,9挡手自一体,5门5座SUV,2.0T 258马力 L4,4826*1890*1714,6.5,223,7.6,(标配)三年不限公里,2005,2550,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
72172,奔驰GLC,奔驰GLC 2025款 GLC 300 L 4MATIC 动感型 7座,48.53万,北京奔驰,中型SUV,汽油+48V轻混系统,国VI,2024.11,190,400,9挡手自一体,5门7座SUV,2.0T 258马力 L4,4826*1890*1714,6.8,223,7.7,(标配)三年不限公里,2080,2760,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
70193,奔驰GLC,奔驰GLC 2025款 GLC 300 L 4MATIC 豪华型 5座,52.53万,北京奔驰,中型SUV,汽油+48V轻混系统,国VI,2024.11,190,400,9挡手自一体,5门5座SUV,2.0T 258马力 L4,4826*1890*1714,6.5,223,7.6,(标配)三年不限公里,2005,2550,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
70199,奔驰GLC,奔驰GLC 2025款 GLC 300 L 4MATIC 豪华型 7座,53.13万,北京奔驰,中型SUV,汽油+48V轻混系统,国VI,2024.11,190,400,9挡手自一体,5门7座SUV,2.0T 258马力 L4,4826*1890*1714,6.8,223,7.7,(标配)三年不限公里,2080,2760,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
70198,奔驰GLC,奔驰GLC 2025款 改款 GLC 260 L 4MATIC 动感型,42.78万,北京奔驰,中型SUV,汽油+48V轻混系统,国VI,2025.03,150,320,9挡手自一体,5门5座SUV,2.0T 204马力 L4,4826*1890*1714,8.2,212,7.2,(标配)三年不限公里,2000,2550,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
72170,奔驰GLC,奔驰GLC 2025款 改款 GLC 260 L 4MATIC 豪华型,45.53万,北京奔驰,中型SUV,汽油+48V轻混系统,国VI,2025.03,150,320,9挡手自一体,5门5座SUV,2.0T 204马力 L4,4826*1890*1714,8.2,212,7.2,(标配)三年不限公里,2000,2550,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
72168,奔驰GLC,奔驰GLC 2025款 改款 GLC 300 L 4MATIC 动感型 5座,47.93万,北京奔驰,中型SUV,汽油+48V轻混系统,国VI,2025.03,190,400,9挡手自一体,5门5座SUV,2.0T 258马力 L4,4826*1890*1714,6.5,223,7.4,(标配)三年不限公里,2005,2550,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
72167,奔驰GLC,奔驰GLC 2025款 改款 GLC 300 L 4MATIC 动感型 7座,48.53万,北京奔驰,中型SUV,汽油+48V轻混系统,国VI,2025.03,190,400,9挡手自一体,5门7座SUV,2.0T 258马力 L4,4826*1890*1714,6.8,223,7.5,(标配)三年不限公里,2080,2760,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
72171,奔驰GLC,奔驰GLC 2025款 改款 GLC 300 L 4MATIC 豪华型 5座,52.53万,北京奔驰,中型SUV,汽油+48V轻混系统,国VI,2025.03,190,400,9挡手自一体,5门5座SUV,2.0T 258马力 L4,4826*1890*1714,6.5,223,7.4,(标配)三年不限公里,2005,2550,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
70195,奔驰GLC,奔驰GLC 2025款 改款 GLC 300 L 4MATIC 豪华型 7座,53.13万,北京奔驰,中型SUV,汽油+48V轻混系统,国VI,2025.03,190,400,9挡手自一体,5门7座SUV,2.0T 258马力 L4,4826*1890*1714,6.8,223,7.5,(标配)三年不限公里,2080,2760,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
71972,奔驰C级,奔驰C级 2025款 C 200 L 运动版,33.48万,北京奔驰,中型车,汽油+48V轻混系统,国VI,2024.09,125,250,9挡手自一体,4门5座三厢车,1.5T 170马力 L4,4882*1820*1461,9.2,225,6.35,(标配)三年不限公里,1730,2250,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
71962,奔驰C级,奔驰C级 2025款 C 260 L,35.68万,北京奔驰,中型车,汽油+48V轻混系统,国VI,2024.09,150,300,9挡手自一体,4门5座三厢车,1.5T 204马力 L4,4882*1820*1461,7.8,236,6.45,(标配)三年不限公里,1760,2260,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
69626,奔驰C级,奔驰C级 2025款 C 260 L 运动版,35.68万,北京奔驰,中型车,汽油+48V轻混系统,国VI,2024.09,150,300,9挡手自一体,4门5座三厢车,1.5T 204马力 L4,4882*1820*1461,7.8,236,6.45,(标配)三年不限公里,1760,2260,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
71923,奔驰C级,奔驰C级 2025款 C 260 L 4MATIC 运动版,37.58万,北京奔驰,中型车,汽油+48V轻混系统,国VI,2024.09,150,300,9挡手自一体,4门5座三厢车,1.5T 204马力 L4,4882*1820*1461,7.6,235,6.75,(标配)三年不限公里,1815,2320,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
69596,奔驰C级,奔驰C级 2025款 C 260 L 皓夜运动版,38.06万,北京奔驰,中型车,汽油+48V轻混系统,国VI,2024.09,150,300,9挡手自一体,4门5座三厢车,1.5T 204马力 L4,4882*1820*1461,7.8,236,6.45,(标配)三年不限公里,1760,2260,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
69625,奔驰C级,奔驰C级 2025款 改款 C 200 L 运动版,33.48万,北京奔驰,中型车,汽油+48V轻混系统,国VI,2025.02,125,250,9挡手自一体,4门5座三厢车,1.5T 170马力 L4,4882*1820*1461,9.2,225,6.1,(标配)三年不限公里,1730,2250,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
69627,奔驰C级,奔驰C级 2025款 改款 C 260 L,35.68万,北京奔驰,中型车,汽油+48V轻混系统,国VI,2025.02,150,300,9挡手自一体,4门5座三厢车,1.5T 204马力 L4,4882*1820*1461,7.8,236,6.2,(标配)三年不限公里,1760,2260,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
69628,奔驰C级,奔驰C级 2025款 改款 C 260 L 运动版,35.68万,北京奔驰,中型车,汽油+48V轻混系统,国VI,2025.02,150,300,9挡手自一体,4门5座三厢车,1.5T 204马力 L4,4882*1820*1461,7.8,236,6.2,(标配)三年不限公里,1760,2260,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
71924,奔驰C级,奔驰C级 2025款 改款 C 260 L 4MATIC 运动版,37.58万,北京奔驰,中型车,汽油+48V轻混系统,国VI,2025.02,150,300,9挡手自一体,4门5座三厢车,1.5T 204马力 L4,4882*1820*1461,7.6,235,6.5,(标配)三年不限公里,1815,2320,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
71973,奔驰C级,奔驰C级 2025款 改款 C 260 L 皓夜运动版,38.06万,北京奔驰,中型车,汽油+48V轻混系统,国VI,2025.02,150,300,9挡手自一体,4门5座三厢车,1.5T 204马力 L4,4882*1820*1461,7.8,236,6.2,(标配)三年不限公里,1760,2260,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
72315,奔驰GLE,奔驰GLE 2025款 GLE 350 4MATIC 动感型,69.98万,奔驰(进口),中大型SUV,汽油+48V轻混系统,国VI,2024.10,190,400,9挡手自一体,5门5座SUV,2.0T 258马力 L4,4927*2018*1797,7.3,218,9.1,(标配)三年不限公里,2230,2800,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
70263,奔驰GLE,奔驰GLE 2025款 GLE 350 4MATIC 时尚型,74.88万,奔驰(进口),中大型SUV,汽油+48V轻混系统,国VI,2024.10,190,400,9挡手自一体,5门5座SUV,2.0T 258马力 L4,4927*2018*1797,7.3,218,9.1,(标配)三年不限公里,2300,2800,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
70262,奔驰GLE,奔驰GLE 2025款 GLE 450 4MATIC 时尚型,83.98万,奔驰(进口),中大型SUV,汽油+48V轻混系统,国VI,2024.10,270,500,9挡手自一体,5门5座SUV,2.5T 367马力 L6,4927*2018*1782,5.9,250,8.9,(标配)三年不限公里,2348,3000,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
72316,奔驰GLE,奔驰GLE 2025款 GLE 450 4MATIC 豪华型,88.28万,奔驰(进口),中大型SUV,汽油+48V轻混系统,国VI,2024.10,270,500,9挡手自一体,5门5座SUV,2.5T 367马力 L6,4927*2018*1797,5.9,250,9.9,(标配)三年不限公里,2369,3000,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
72313,奔驰GLE,奔驰GLE 2025款 改款 GLE 350 4MATIC 动感型,69.98万,奔驰(进口),中大型SUV,汽油+48V轻混系统,国VI,2025.03,190,400,9挡手自一体,5门5座SUV,2.0T 258马力 L4,4927*2018*1797,7.3,218,8.5,(标配)三年不限公里,2230,2800,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
70264,奔驰GLE,奔驰GLE 2025款 改款 GLE 350 4MATIC 时尚型,74.88万,奔驰(进口),中大型SUV,汽油+48V轻混系统,国VI,2025.03,190,400,9挡手自一体,5门5座SUV,2.0T 258马力 L4,4927*2018*1797,7.3,218,8.5,(标配)三年不限公里,2300,2800,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
72314,奔驰GLE,奔驰GLE 2025款 改款 GLE 450 4MATIC 时尚型,83.98万,奔驰(进口),中大型SUV,汽油+48V轻混系统,国VI,2025.03,270,500,9挡手自一体,5门5座SUV,2.5T 367马力 L6,4927*2018*1782,5.9,250,8.9,(标配)三年不限公里,2348,3000,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
70265,奔驰GLE,奔驰GLE 2025款 改款 GLE 450 4MATIC 豪华型,88.28万,奔驰(进口),中大型SUV,汽油+48V轻混系统,国VI,2025.03,270,500,9挡手自一体,5门5座SUV,2.5T 367马力 L6,4927*2018*1797,5.9,250,9.9,(标配)三年不限公里,2369,3000,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
71821,奔驰S级,奔驰S级 2025款 S 400 L 商务型,96.26万,奔驰(进口),大型车,汽油+48V轻混系统,国VI,2025.02,230,450,9挡手自一体,4门5座三厢车,2.5T 313马力 L6,5290*1921*1503,5.9,250,7.7,(标配)三年不限公里,2065,2795,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
71819,奔驰S级,奔驰S级 2025款 S 400 L 豪华型,114.74万,奔驰(进口),大型车,汽油+48V轻混系统,国VI,2025.02,230,450,9挡手自一体,4门5座三厢车,2.5T 313马力 L6,5290*1921*1503,5.9,250,7.7,(标配)三年不限公里,2130,2795,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
71820,奔驰S级,奔驰S级 2025款 S 450 L 4MATIC,134.32万,奔驰(进口),大型车,汽油+48V轻混系统,国VI,2025.02,270,500,9挡手自一体,4门5座三厢车,2.5T 367马力 L6,5320*1921*1503,5.6,250,8.3,(标配)三年不限公里,2210,2820,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
71818,奔驰S级,奔驰S级 2025款 S 500 L 4MATIC 匠心高定版,204.26万,奔驰(进口),大型车,汽油+48V轻混系统,国VI,2025.02,330,520,9挡手自一体,4门5座三厢车,3.0T 448马力 L6,5320*1921*1503,5,250,8.4,(标配)三年不限公里,2230,2820,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
67448,奔驰S级,奔驰S级 2024款 改款 S 400 L 商务型,96.26万,奔驰(进口),大型车,汽油+48V轻混系统,国VI,2024.03,230,450,9挡手自一体,4门5座三厢车,2.5T 313马力 L6,5290*1921*1503,5.9,250,7.7,(标配)三年不限公里,2065,2795,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
67449,奔驰S级,奔驰S级 2024款 改款 S 400 L 豪华型,114.74万,奔驰(进口),大型车,汽油+48V轻混系统,国VI,2024.03,230,450,9挡手自一体,4门5座三厢车,2.5T 313马力 L6,5290*1921*1503,5.9,250,7.7,(标配)三年不限公里,2130,2795,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
67450,奔驰S级,奔驰S级 2024款 改款 S 450 L 4MATIC,134.32万,奔驰(进口),大型车,汽油+48V轻混系统,国VI,2024.03,270,500,9挡手自一体,4门5座三厢车,2.5T 367马力 L6,5320*1921*1503,5.6,250,8.3,(标配)三年不限公里,2210,2820,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
67451,奔驰S级,奔驰S级 2024款 改款 S 500 L 4MATIC 匠心高定版,204.26万,奔驰(进口),大型车,汽油+48V轻混系统,国VI,2024.03,330,560,9挡手自一体,4门5座三厢车,3.0T 449马力 L6,5320*1921*1503,5,250,8.4,(标配)三年不限公里,2230,2820,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
70558,迈巴赫S级,迈巴赫S级 2025款 改款 S 480 4MATIC,146.80万,梅赛德斯-迈巴赫,大型车,汽油+48V轻混系统,国VI,2025.03,280,500,9挡手自一体,4门5座三厢车,3.0T 380马力 L6,5470*1921*1510,5.6,250,8.5,(标配)三年不限公里,2270,2840,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
67444,迈巴赫S级,迈巴赫S级 2025款 S 480 4MATIC,146.80万,梅赛德斯-迈巴赫,大型车,汽油+48V轻混系统,国VI,无,280,500,9挡手自一体,4门5座三厢车,3.0T 380马力 L6,5470*1921*1510,5.6,250,8.5,(标配)三年不限公里,2270,2840,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
70557,迈巴赫S级,迈巴赫S级 2025款 改款 S 580 4MATIC,249.60万,梅赛德斯-迈巴赫,大型车,汽油+48V轻混系统,国VI,2025.03,370,700,9挡手自一体,4门4座三厢车,4.0T 503马力 V8,5470*1921*1510,4.9,250,10,(标配)三年不限公里,2320,2870,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
68040,迈巴赫S级,迈巴赫S级 2025款 S 580 4MATIC,249.60万,梅赛德斯-迈巴赫,大型车,汽油+48V轻混系统,国VI,无,370,700,9挡手自一体,4门4座三厢车,4.0T 503马力 V8,5470*1921*1510,4.9,250,10,(标配)三年不限公里,2320,2870,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
72308,迈巴赫S级,迈巴赫S级 2025款 改款 S 680 4MATIC,332.70万,梅赛德斯-迈巴赫,大型车,汽油,国VI,2025.03,450,900,9挡手自一体,4门4座三厢车,6.0T 612马力 V12,5470*1921*1510,4.6,250,13.2,(标配)三年不限公里,2350,2890,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
72306,迈巴赫S级,迈巴赫S级 2025款 改款 S 680 4MATIC 极夜版,364.30万,梅赛德斯-迈巴赫,大型车,汽油,国VI,2025.03,450,900,9挡手自一体,4门4座三厢车,6.0T 612马力 V12,5470*1921*1510,4.6,250,13.2,(标配)三年不限公里,2350,2890,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
68041,迈巴赫S级,迈巴赫S级 2025款 S 680 4MATIC,332.70万,梅赛德斯-迈巴赫,大型车,汽油,国VI,无,450,900,9挡手自一体,4门4座三厢车,6.0T 612马力 V12,5470*1921*1510,4.7,250,13.2,(标配)三年不限公里,2350,2890,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
